,df2019ÀüÃ³¸®
0,_accumulateddepreciationbrandnamesgross
1,_accumulateddepreciationbuildingincidentalfacilitiesgross
2,_accumulateddepreciationbuildingsgross
3,_accumulateddepreciationcomputersoftwaregross
4,_accumulateddepreciationcopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
5,_accumulateddepreciationelectronicfacilitiesgross
6,_accumulateddepreciationfinanceleaseassetgross
7,_accumulateddepreciationfittinggross
8,_accumulateddepreciationfixturesandfittingsgross
9,_accumulateddepreciationintangibleexplorationandevaluationassetsgross
10,_accumulateddepreciationinvestmentproperty
11,_accumulateddepreciationlandrightgross
12,_accumulateddepreciationlicencesandfranchisesgross
13,_accumulateddepreciationmachinerygross
14,_accumulateddepreciationminingrightsgross
15,_accumulateddepreciationofficeequipmentgross
16,_accumulateddepreciationotherintangibleassetsgross
17,_accumulateddepreciationotherpropertyplantandequipmentgross
18,_accumulateddepreciationrentalassetgross
19,_accumulateddepreciationrentstructuregross
20,_accumulateddepreciationshipsgross
21,_accumulateddepreciationstructuregross
22,_accumulateddepreciationsupplyfacilitiesgross
23,_accumulateddepreciationtoolsandequipmentgross
24,_accumulateddepreciationusufructcontributionassetgross
25,_accumulateddepreciationvehiclesgross
26,_accumulatedimpairmentlossbrandnamesgross
27,_accumulatedimpairmentlossbuildingsgross
28,_accumulatedimpairmentlosscomputersoftwaregross
29,_accumulatedimpairmentlossconstructioninprogressgross
30,_accumulatedimpairmentlosscopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
31,_accumulatedimpairmentlosscurrentemissionright
32,_accumulatedimpairmentlosselectronicfacilitiesgross
33,_accumulatedimpairmentlossexperimentmaterialgross
34,_accumulatedimpairmentlossfinishedgoodsgross
35,_accumulatedimpairmentlossfittinggross
36,_accumulatedimpairmentlossfixturesandfittingsgross
37,_accumulatedimpairmentlossgoodsintransitgross
38,_accumulatedimpairmentlossgoodwillgross
39,_accumulatedimpairmentlossintangibleassetsunderdevelopmentgross
40,_accumulatedimpairmentlossintangibleexplorationandevaluationassetsgross
41,_accumulatedimpairmentlossinvestmentproperty
42,_accumulatedimpairmentlosslandgross
43,_accumulatedimpairmentlosslanduserightgross
44,_accumulatedimpairmentlosslicencesandfranchisesgross
45,_accumulatedimpairmentlossmachinerygross
46,_accumulatedimpairmentlossmerchandisegross
47,_accumulatedimpairmentlossminingrightsgross
48,_accumulatedimpairmentlossofficeequipmentgross
49,_accumulatedimpairmentlossotherintangibleassetsgross
50,_accumulatedimpairmentlossotherinventoriesgross
51,_accumulatedimpairmentlossotherpropertyplantandequipmentgross
52,_accumulatedimpairmentlossproductionsuppliesgross
53,_accumulatedimpairmentlossrawmaterialsgross
54,_accumulatedimpairmentlossshipsgross
55,_accumulatedimpairmentlossstructuregross
56,_accumulatedimpairmentlosssuppliesgross
57,_accumulatedimpairmentlosstoolsandequipmentgross
58,_accumulatedimpairmentlossvehiclesgross
59,_accumulatedimpairmentlossworkinprogressgross
60,_advancesfromhouseofficesales
61,_advancesonconstructioncontracts
62,_allowancefordoubtfulacccountlongtermdepositsprovidedgross
63,_allowancefordoubtfulacccountlongtermleaseholddeposits
64,_allowancefordoubtfulacccountlongtermloansgross
65,_allowancefordoubtfulacccountlongtermotherreceivablesgross
66,_allowancefordoubtfulacccountlongtermprepaidexpensesgross
67,_allowancefordoubtfulacccountlongtermtradereceivablesgross
