,c0,c1,c2,c3,c4
0,3S,,,,
1,3S,,,,
2,3S,,,,
3,3S,,,,
4,3S,,,,
5,3S,,,,
6,,,,AJ네트웍스,
7,,,,AJ네트웍스,
8,AJ네트웍스,,,,
9,AJ네트웍스,,,,
10,AJ네트웍스,,,,
11,AJ네트웍스,,,,
12,AJ네트웍스,,,,
13,AK홀딩스,,,,
14,AK홀딩스,,,,
15,AK홀딩스,,,,
16,AK홀딩스,,,,
17,AK홀딩스,,,,
18,AK홀딩스,,,,
19,AK홀딩스,,,,
20,,,APS홀딩스,,
21,,,APS홀딩스,,
22,,,APS홀딩스,,
23,,,APS홀딩스,,
24,,,APS홀딩스,,
25,,,APS홀딩스,,
26,,,APS홀딩스,,
27,,,,AP시스템,
28,,,,AP시스템,
29,,,,AP시스템,
30,,,,AP시스템,
31,,,,AP시스템,
32,,,,AP시스템,
33,,,,AP시스템,
34,,BGF,,,
35,,,BGF,,
36,,,BGF,,
37,,,BGF,,
38,,,BGF,,
39,,,BGF,,
40,,,BGF,,
41,,,,BGF리테일,
42,,,,BGF리테일,
43,BGF리테일,,,,
44,BGF리테일,,,,
45,BGF리테일,,,,
46,BGF리테일,,,,
47,BGF리테일,,,,
48,BYC,,,,
49,BYC,,,,
50,BYC,,,,
51,BYC,,,,
52,,,BYC,,
53,,,BYC,,
54,,,BYC,,
55,CJ,,,,
56,CJ,,,,
57,CJ,,,,
58,CJ,,,,
59,CJ,,,,
60,CJ,,,,
61,CJ,,,,
62,CJ CGV,,,,
63,CJ CGV,,,,
64,CJ CGV,,,,
65,CJ CGV,,,,
66,CJ CGV,,,,
67,CJ CGV,,,,
68,CJ CGV,,,,
69,CJ ENM,,,,
70,CJ ENM,,,,
71,CJ ENM,,,,
72,CJ ENM,,,,
73,CJ ENM,,,,
74,CJ ENM,,,,
75,CJ ENM,,,,
76,CJ대한통운,,,,
77,CJ대한통운,,,,
78,CJ대한통운,,,,
79,CJ대한통운,,,,
80,CJ대한통운,,,,
81,CJ대한통운,,,,
82,CJ대한통운,,,,
83,CJ제일제당,,,,
84,CJ제일제당,,,,
85,CJ제일제당,,,,
86,CJ제일제당,,,,
87,CJ제일제당,,,,
88,CJ제일제당,,,,
89,CJ제일제당,,,,
90,,,,CJ프레시웨이,
91,,,,CJ프레시웨이,
92,,,,CJ프레시웨이,
93,,,,CJ프레시웨이,
94,,,,CJ프레시웨이,
95,,,,CJ프레시웨이,
96,,,,CJ프레시웨이,
97,,CMG제약,,,
98,,CMG제약,,,
99,,CMG제약,,,
100,,CMG제약,,,
101,,CMG제약,,,
102,,CMG제약,,,
103,,CMG제약,,,
104,,,,CNH,
105,,,,CNH,
106,,,,CNH,
107,,,,CNH,
108,,,,CNH,
109,,,,CNH,
110,,,,CNH,
111,,,,CS,
112,,,,,CS
113,,CS,,,
114,,CS,,,
115,,CS,,,
116,,CS,,,
117,,CS,,,
118,,CSA 코스믹,,,
119,,,,,CSA 코스믹
120,,,,,CSA 코스믹
121,,,,,CSA 코스믹
122,,,,,CSA 코스믹
123,,,,,CSA 코스믹
124,,,,,CSA 코스믹
125,,CS홀딩스,,,
126,,CS홀딩스,,,
127,,CS홀딩스,,,
128,,CS홀딩스,,,
129,,CS홀딩스,,,
130,,CS홀딩스,,,
131,,CS홀딩스,,,
132,,,DB,,
133,DB,,,,
134,DB,,,,
135,DB,,,,
136,DB,,,,
137,DB,,,,
138,DB,,,,
139,DB하이텍,,,,
140,DB하이텍,,,,
141,DB하이텍,,,,
142,DB하이텍,,,,
143,DB하이텍,,,,
144,,,DB하이텍,,
145,,,DB하이텍,,
146,,,,,DMS
147,,,,,DMS
148,,,,,DMS
149,,,,,DMS
150,,,,,DMS
151,,,,,DMS
152,,,,,DMS
153,,,DRB동일,,
154,,,DRB동일,,
155,,,DRB동일,,
156,,,DRB동일,,
157,,,DRB동일,,
158,,,DRB동일,,
159,,,DRB동일,,
160,,,,,DSR
161,,,DSR,,
162,,,DSR,,
163,,,DSR,,
164,,,DSR,,
165,,,DSR,,
166,,,DSR,,
167,E1,,,,
168,E1,,,,
169,E1,,,,
170,E1,,,,
171,E1,,,,
172,E1,,,,
173,,,,E1,
174,,,,,EDGC
175,,,,,EDGC
176,,,,,EDGC
177,,,,,EDGC
178,,,,EDGC,
179,,,,EDGC,
180,,,,,EG
181,EG,,,,
182,EG,,,,
183,EG,,,,
184,EG,,,,
185,EG,,,,
186,EG,,,,
187,EMW,,,,
188,,,,EMW,
189,,,,EMW,
190,,,,EMW,
191,,,,EMW,
192,EMW,,,,
193,EMW,,,,
194,,F&F,,,
195,,F&F,,,
196,,,F&F,,
197,,,F&F,,
198,,,F&F,,
199,,,F&F,,
200,,,F&F,,
201,,GH신소재,,,
202,GH신소재,,,,
203,GH신소재,,,,
204,GH신소재,,,,
205,GH신소재,,,,
206,GH신소재,,,,
207,GH신소재,,,,
208,,GKL,,,
209,,,GKL,,
210,,,,,GKL
211,,,GKL,,
212,,,GKL,,
213,,,GKL,,
214,,,GKL,,
215,,GRT,,,
216,,GRT,,,
217,,GRT,,,
218,,GRT,,,
219,,GRT,,,
220,,GRT,,,
221,GS,,,,
222,GS,,,,
223,GS,,,,
224,GS,,,,
225,GS,,,,
226,GS,,,,
227,GS,,,,
228,,,GST,,
229,,GST,,,
230,,,GST,,
231,,GST,,,
232,,GST,,,
233,,GST,,,
234,,GST,,,
235,,,,GS건설,
236,,,,GS건설,
237,,,,GS건설,
238,,,,GS건설,
239,,,,GS건설,
240,,,,GS건설,
241,,,,GS건설,
242,,,,GS글로벌,
243,,,,GS글로벌,
244,,,,GS글로벌,
245,,,,GS글로벌,
246,,,,GS글로벌,
247,,,,GS글로벌,
248,,,,GS글로벌,
249,GS리테일,,,,
250,GS리테일,,,,
251,GS리테일,,,,
252,GS리테일,,,,
253,GS리테일,,,,
254,GS리테일,,,,
255,GS리테일,,,,
256,,,GS홈쇼핑,,
257,,,GS홈쇼핑,,
258,,,GS홈쇼핑,,
259,,,GS홈쇼핑,,
260,,,GS홈쇼핑,,
261,,,GS홈쇼핑,,
262,,,GS홈쇼핑,,
263,,,,GV,
264,GV,,,,
265,,,,GV,
266,,,,GV,
267,,,,GV,
268,,,,GV,
269,,,,GV,
270,,HB테크놀러지,,,
271,,,HB테크놀러지,,
272,,,HB테크놀러지,,
273,,,HB테크놀러지,,
274,,,,,HB테크놀러지
275,,,,,HB테크놀러지
276,,,,,HB테크놀러지
277,,,,,HDC
278,,,HDC,,
279,HDC,,,,
280,HDC,,,,
281,,,HDC,,
282,HDC,,,,
283,,,,,HDC
284,,,HDC아이콘트롤스,,
285,,,HDC아이콘트롤스,,
286,,,HDC아이콘트롤스,,
287,,,HDC아이콘트롤스,,
288,,,HDC아이콘트롤스,,
289,,,HDC아이콘트롤스,,
290,,,,,HDC아이콘트롤스
291,,,,,HDC현대EP
292,,,,,HDC현대EP
293,,,,,HDC현대EP
294,,,,,HDC현대EP
295,,,,,HDC현대EP
296,,,,,HDC현대EP
297,,,,,HDC현대EP
298,,,,HDC현대산업개발,
299,,,,HDC현대산업개발,
300,,,,,HDC현대산업개발
301,,,,,HDC현대산업개발
302,,,,,HDC현대산업개발
303,,,,,HDC현대산업개발
304,HMM,,,,
305,,HRS,,,
306,,,HRS,,
307,,,HRS,,
308,,,HRS,,
309,,,HRS,,
310,,HRS,,,
311,,HRS,,,
312,HSD엔진,,,,
313,,,,HSD엔진,
314,,,,HSD엔진,
315,,,,HSD엔진,
316,,,,HSD엔진,
317,,,,HSD엔진,
318,,,,HSD엔진,
319,,,ISC,,
320,,,ISC,,
321,,,ISC,,
322,,,ISC,,
323,,,ISC,,
324,,,ISC,,
325,,,ISC,,
326,,,,,ITX엠투엠
327,,,,,ITX엠투엠
328,,,,ITX엠투엠,
329,,,,ITX엠투엠,
330,,,,,JTC
331,,,,,JTC
332,,,,,JTC
333,JTC,,,,
334,JTC,,,,
335,JTC,,,,
336,JW생명과학,,,,
337,JW생명과학,,,,
338,JW생명과학,,,,
339,JW생명과학,,,,
340,JW생명과학,,,,
341,JW생명과학,,,,
342,JW생명과학,,,,
343,,,,JW신약,
344,,,,JW신약,
345,,,,JW신약,
346,,,,JW신약,
347,,,,JW신약,
348,JW신약,,,,
349,JW신약,,,,
350,,,,JW중외제약,
351,,,,,JW중외제약
352,,,,,JW중외제약
353,,,,,JW중외제약
354,,,,,JW중외제약
355,,,,JW중외제약,
356,,,,JW중외제약,
357,,,,JW홀딩스,
358,,,,JW홀딩스,
359,,,,JW홀딩스,
360,,,,JW홀딩스,
361,,,,JW홀딩스,
362,,,,JW홀딩스,
363,,,,JW홀딩스,
364,,,JYP Ent.,,
365,,,JYP Ent.,,
366,,,JYP Ent.,,
367,,JYP Ent.,,,
368,,JYP Ent.,,,
369,,,JYP Ent.,,
370,,JYP Ent.,,,
371,,,,KBI메탈,
372,,,,KBI메탈,
373,,,,KBI메탈,
374,,,,KBI메탈,
375,,,,KBI메탈,
376,,,,KBI메탈,
377,,,,,KBI메탈
378,,,KB오토시스,,
379,,,KB오토시스,,
380,,,KB오토시스,,
381,,,KB오토시스,,
382,,,KB오토시스,,
383,,,KB오토시스,,
384,,,KB오토시스,,
385,,,,KCC건설,
386,,,,KCC건설,
387,KC그린홀딩스,,,,
388,,,,KC그린홀딩스,
389,,,,KC그린홀딩스,
390,,,,KC그린홀딩스,
391,,,,KC그린홀딩스,
392,,,,KC그린홀딩스,
393,,,,KC그린홀딩스,
394,,,,,KC코트렐
395,,,,KC코트렐,
396,,,,KC코트렐,
397,,,,KC코트렐,
398,,,,KC코트렐,
399,,,,KC코트렐,
400,,,,KC코트렐,
401,,,,KD,
402,,,,KD,
403,,,,KD,
404,,,,KD,
405,,,,KD,
406,KD,,,,
407,,,,,KEC
408,,,KEC,,
409,,,KEC,,
410,,,,,KEC
411,,,KEC,,
412,,,,,KEC
413,,,,,KEC
414,,,KG ETS,,
415,KG동부제철,,,,
416,,,,,KG모빌리언스
417,,,,,KG모빌리언스
418,,,,,KG모빌리언스
419,,,,,KG모빌리언스
420,,,,,KG모빌리언스
421,,,,,KG모빌리언스
422,,,,KG모빌리언스,
423,,,,KG이니시스,
424,,,,KG이니시스,
425,,,,KG이니시스,
426,,,,KG이니시스,
427,,,,KG이니시스,
428,,,,KG이니시스,
429,,,,KG이니시스,
430,,,,KG케미칼,
431,,,,KG케미칼,
432,,,,KG케미칼,
433,,,,KG케미칼,
434,KG케미칼,,,,
435,KG케미칼,,,,
436,KG케미칼,,,,
437,,,KH바텍,,
438,,,KH바텍,,
439,,,,,KH바텍
440,,,,,KH바텍
441,,,KH바텍,,
442,,,KH바텍,,
443,,,KH바텍,,
444,,KISCO홀딩스,,,
445,,KISCO홀딩스,,,
446,,KISCO홀딩스,,,
447,,KISCO홀딩스,,,
448,,KISCO홀딩스,,,
449,,KISCO홀딩스,,,
450,,KISCO홀딩스,,,
451,KMH,,,,
452,,,KMH하이텍,,
453,,,KMH하이텍,,
454,,,KMH하이텍,,
455,,,KMH하이텍,,
456,,,KMH하이텍,,
457,,,KMH하이텍,,
458,,,KMH하이텍,,
459,,,KNN,,
460,,,KNN,,
461,,,KNN,,
462,,,KNN,,
463,,,KNN,,
464,,,KNN,,
465,,,KNN,,
466,,,KPX홀딩스,,
467,,,KPX홀딩스,,
468,,,KPX홀딩스,,
469,,,KPX홀딩스,,
470,,,KPX홀딩스,,
471,,,KPX홀딩스,,
472,,,KPX홀딩스,,
473,KSS해운,,,,
474,KSS해운,,,,
475,KSS해운,,,,
476,KSS해운,,,,
477,KSS해운,,,,
478,KSS해운,,,,
479,KSS해운,,,,
480,,,,,KTcs
481,,,,,KTcs
482,,,,,KTcs
483,,,,,KTcs
484,,,,,KTcs
485,,,,,KTcs
486,,,,,KTcs
487,,,LF,,
488,,,LF,,
489,,,,,LF
490,,,LF,,
491,,,,,LF
492,,,,,LF
493,,,,,LF
494,,,LG,,
495,,,LG,,
496,,,LG,,
497,,,LG,,
