,회사명,결산기준일,자산총계,자본총계,부채총계
0,3S,2017-03-31,53706903552.0,29179666432.0,24527237120.0
1,3S,2018-03-31,49521000448.0,30752337920.0,18768660480.0
2,3S,2019-03-31,53329219584.0,34371682304.0,18957539328.0
3,3S,2019-06-30,52757966848.0,35150348288.0,17607618560.0
4,3S,2019-09-30,51617583104.0,34870439936.0,16747140096.0
5,3S,2019-12-31,52321853440.0,35193487360.0,17128369152.0
6,AJ네트웍스,2017-12-31,2354233737216.0,447172870144.0,1907060899840.0
7,AJ네트웍스,2018-12-31,2575139340288.0,491807965184.0,2083331506176.0
8,AJ네트웍스,2019-03-31,1673047703552.0,431336685568.0,1241710985216.0
9,AJ네트웍스,2019-06-30,1740844826624.0,398455504896.0,1342389354496.0
10,AJ네트웍스,2019-09-30,1805733330944.0,407906549760.0,1397826781184.0
11,AJ네트웍스,2019-12-31,1803255283712.0,347341160448.0,1455914090496.0
12,AJ네트웍스,2020-03-31,1768247656448.0,333525385216.0,1434722369536.0
13,AK홀딩스,2017-12-31,2944784400384.0,1152064028672.0,1792720240640.0
14,AK홀딩스,2018-12-31,3397931237376.0,1473897693184.0,1924033544192.0
15,AK홀딩스,2019-03-31,4313227198464.0,1505659322368.0,2807567745024.0
16,AK홀딩스,2019-06-30,4269534085120.0,1507603906560.0,2761930309632.0
17,AK홀딩스,2019-09-30,4262163906560.0,1472905478144.0,2789258297344.0
18,AK홀딩스,2019-12-31,4327964672000.0,1429938896896.0,2898025775104.0
19,AK홀딩스,2020-03-31,4166508609536.0,1309457907712.0,2857050570752.0
20,APS홀딩스,2017-12-31,231782973440.0,183276175360.0,48506789888.0
21,APS홀딩스,2018-12-31,283203895296.0,235589599232.0,47614275584.0
22,APS홀딩스,2019-03-31,277452619776.0,232314503168.0,45138132992.0
23,APS홀딩스,2019-06-30,282808811520.0,229553602560.0,53255204864.0
24,APS홀딩스,2019-09-30,283879833600.0,228362698752.0,55517143040.0
25,APS홀딩스,2019-12-31,297708257280.0,214785736704.0,82922504192.0
26,APS홀딩스,2020-03-31,296237006848.0,214208167936.0,82028838912.0
27,AP시스템,2017-12-31,468030717952.0,89489342464.0,378541375488.0
28,AP시스템,2018-12-31,420986945536.0,106415128576.0,314571816960.0
29,AP시스템,2019-03-31,402034950144.0,104793366528.0,297241608192.0
30,AP시스템,2019-06-30,393439805440.0,110425423872.0,283014365184.0
31,AP시스템,2019-09-30,420276469760.0,112547364864.0,307729104896.0
32,AP시스템,2019-12-31,420965875712.0,114122899456.0,306842992640.0
33,AP시스템,2020-03-31,454781206528.0,121716637696.0,333064568832.0
34,BGF,2017-12-31,858118619136.0,725230944256.0,132887658496.0
35,BGF,2018-12-31,1624874680320.0,1532214247424.0,92660539392.0
36,BGF,2019-03-31,1640806875136.0,1533637427200.0,107169431552.0
37,BGF,2019-06-30,1662491688960.0,1546383917056.0,116107804672.0
38,BGF,2019-09-30,1665667694592.0,1547755192320.0,117912436736.0
39,BGF,2019-12-31,1657381453824.0,1528254693376.0,129126735872.0
40,BGF,2020-03-31,1639968669696.0,1503202377728.0,136766300160.0
41,BGF리테일,2017-12-31,1277349462016.0,388644208640.0,888705318912.0
42,BGF리테일,2018-12-31,1482568499200.0,521663021056.0,960905478144.0
43,BGF리테일,2019-03-31,2056295809024.0,495838724096.0,1560457117696.0
44,BGF리테일,2019-06-30,2088273182720.0,541778673664.0,1546494410752.0
45,BGF리테일,2019-09-30,2143061540864.0,591932817408.0,1551128723456.0
46,BGF리테일,2019-12-31,2172410920960.0,622595735552.0,1549815119872.0
47,BGF리테일,2020-03-31,2178886664192.0,587708891136.0,1591177773056.0
48,BYC,2017-12-31,745823207424.0,399338242048.0,346484965376.0
49,BYC,2018-12-31,738431270912.0,407403462656.0,331027808256.0
50,BYC,2019-03-31,725437251584.0,409083609088.0,316353675264.0
51,BYC,2019-06-30,723490242560.0,415233146880.0,308257095680.0
52,BYC,2019-09-30,725594800128.0,427439980544.0,298154819584.0
53,BYC,2019-12-31,693882847232.0,434327453696.0,259555393536.0
54,BYC,2020-03-31,687771615232.0,433717116928.0,254054465536.0
55,CJ,2017-12-31,29325382385664.0,11992168398848.0,17333213986816.0
56,CJ,2018-12-31,31729549049856.0,12521810427904.0,19207737573376.0
57,CJ,2019-03-31,39615398412288.0,13565592338432.0,26049805025280.0
58,CJ,2019-06-30,40725953642496.0,14291844464640.0,26434108129280.0
59,CJ,2019-09-30,41453363396608.0,14637909147648.0,26815456346112.0
60,CJ,2019-12-31,40381366403072.0,14615084793856.0,25766280560640.0
61,CJ,2020-03-31,41216364249088.0,15060169654272.0,26156193546240.0
62,CJ CGV,2017-12-31,2460100853760.0,777662562304.0,1682438225920.0
63,CJ CGV,2018-12-31,2234185940992.0,550280691712.0,1683905314816.0
64,CJ CGV,2019-03-31,4230041829376.0,543362383872.0,3686679445504.0
65,CJ CGV,2019-06-30,4252990177280.0,522662084608.0,3730328256512.0
66,CJ CGV,2019-09-30,4379361411072.0,532242530304.0,3847118913536.0
67,CJ CGV,2019-12-31,4524047073280.0,601109889024.0,3922936987648.0
68,CJ CGV,2020-03-31,4456866906112.0,471769972736.0,3985096572928.0
69,CJ ENM,2017-12-31,2801818402816.0,1484104138752.0,1317714395136.0
70,CJ ENM,2018-12-31,6754948087808.0,3425648246784.0,3329299841024.0
71,CJ ENM,2019-03-31,6968437637120.0,3489417134080.0,3479020765184.0
72,CJ ENM,2019-06-30,7382547038208.0,3557707218944.0,3824840081408.0
73,CJ ENM,2019-09-30,7385923452928.0,3598462484480.0,3787460968448.0
74,CJ ENM,2019-12-31,5434907820032.0,3151893364736.0,2283014193152.0
75,CJ ENM,2020-03-31,5661654515712.0,3176322826240.0,2485331427328.0
76,CJ대한통운,2017-12-31,6285983481856.0,2759772340224.0,3526210879488.0
77,CJ대한통운,2018-12-31,7868566732800.0,3130737819648.0,4737829175296.0
78,CJ대한통운,2019-03-31,8848346710016.0,3494237962240.0,5354108747776.0
79,CJ대한통운,2019-06-30,9093577179136.0,3511800037376.0,5581776617472.0
80,CJ대한통운,2019-09-30,9166712209408.0,3538970214400.0,5627741995008.0
81,CJ대한통운,2019-12-31,9110015705088.0,3655245234176.0,5454770995200.0
82,CJ대한통운,2020-03-31,9431029907456.0,3701376811008.0,5729652572160.0
83,CJ제일제당,2017-12-31,16868124393472.0,6143853199360.0,10724270145536.0
84,CJ제일제당,2018-12-31,19497022914560.0,7308211912704.0,12188811001856.0
85,CJ제일제당,2019-03-31,24441515933696.0,8318315659264.0,16123199225856.0
86,CJ제일제당,2019-06-30,25089403781120.0,8789825683456.0,16299578097664.0
87,CJ제일제당,2019-09-30,25585615110144.0,9065657794560.0,16519958364160.0
88,CJ제일제당,2019-12-31,26280632254464.0,9481480044544.0,16799152209920.0
89,CJ제일제당,2020-03-31,26752550174720.0,10063758491648.0,16688791683072.0
90,CJ프레시웨이,2017-12-31,902641811456.0,235476811776.0,667164999680.0
91,CJ프레시웨이,2018-12-31,917344550912.0,252868280320.0,664476254208.0
92,CJ프레시웨이,2019-03-31,1130151936000.0,247040491520.0,883111428096.0
93,CJ프레시웨이,2019-06-30,1165292077056.0,254337236992.0,910954790912.0
94,CJ프레시웨이,2019-09-30,1173868642304.0,255216582656.0,918651994112.0
95,CJ프레시웨이,2019-12-31,1181663100928.0,289133428736.0,892529737728.0
96,CJ프레시웨이,2020-03-31,1240643928064.0,265304096768.0,975339782144.0
97,CJ헬로,2019-03-31,1989838372864.0,1060953063424.0,928885309440.0
98,CJ헬로,2019-06-30,2018025799680.0,1065162506240.0,952863293440.0
99,CJ헬로,2019-09-30,1895013679104.0,1062327418880.0,832686325760.0
100,CMG제약,2017-12-31,109568155648.0,97944018944.0,11624133632.0
101,CMG제약,2018-12-31,114379882496.0,103981842432.0,10398033920.0
102,CMG제약,2019-03-31,117047369728.0,104550760448.0,12496610304.0
103,CMG제약,2019-06-30,120236630016.0,105680977920.0,14555646976.0
104,CMG제약,2019-09-30,193088421888.0,179851034624.0,13237387264.0
105,CMG제약,2019-12-31,192243171328.0,180158283776.0,12084883456.0
106,CMG제약,2020-03-31,196136812544.0,181612298240.0,14524506112.0
107,CNH,2017-12-31,323927310336.0,102377218048.0,221550084096.0
108,CNH,2018-12-31,321953103872.0,97066319872.0,224886800384.0
109,CNH,2019-03-31,390294667264.0,102194462720.0,288100188160.0
110,CNH,2019-06-30,423026917376.0,112880091136.0,310146826240.0
111,CNH,2019-09-30,432926851072.0,108283789312.0,324643061760.0
112,CNH,2019-12-31,465345970176.0,109798252544.0,355547709440.0
