,종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),유동자산per자산총계,비유동자산per자산총계,유동부채per자산총계,비유동부채per자산총계,부채총계per자산총계,이익잉여금(결손금)per자산총계,자본총계per자산총계,cluster
0,[060310],3S,292.0,특수 목적용 기계 제조업,2017-03-31,사업보고서,53706903552.0,16712868864.0,36994035712.0,24527237120.0,15356227584.0,9171008512.0,29179666432.0,-30929575936.0,0.3111866028138877,0.6888134162525624,0.2859265116472749,0.1707603288489805,0.4566868595627056,-0.5758957208555772,0.5433131404372944,0
1,[060310],3S,292.0,특수 목적용 기계 제조업,2018-03-31,사업보고서,49521000448.0,12801670144.0,36719329280.0,18768660480.0,12539083776.0,6229576704.0,30752337920.0,-32361814016.0,0.2585099256514924,0.7414900536704117,0.25320740014464743,0.12579666500359635,0.37900406514824375,-0.653496773555329,0.6209958934955643,0
2,[060310],3S,292.0,특수 목적용 기계 제조업,2019-03-31,사업보고서,53329219584.0,18079336448.0,35249885184.0,18957539328.0,17221416960.0,1736120960.0,34371682304.0,-31672784896.0,0.3390137074764961,0.6609863309264661,0.3229264762233052,0.03255477904126084,0.3554812816666025,-0.5939105267818802,0.6445187567363596,0
3,[060310],3S,292.0,특수 목적용 기계 제조업,2019-06-30,1분기보고서,52757966848.0,17545668608.0,35212300288.0,17607618560.0,13460222976.0,4147396096.0,35150348288.0,-30887997440.0,0.3325690820980744,0.6674309567207073,0.2551315712142585,0.07861174991729658,0.33374331142685965,-0.5854660307322084,0.6662566885731404,0
4,[060310],3S,292.0,특수 목적용 기계 제조업,2019-09-30,반기보고서,51617583104.0,17092746240.0,34524835840.0,16747140096.0,14094464000.0,2652676096.0,34870439936.0,-31170967552.0,0.33114193288673044,0.6688580472750684,0.2730554813386405,0.05139093960783368,0.32444642094647425,-0.6038827406776524,0.6755535195389221,0
5,[060310],3S,292.0,특수 목적용 기계 제조업,2019-12-31,3분기보고서,52321853440.0,17721049088.0,34600804352.0,17128369152.0,14490427392.0,2637941248.0,35193487360.0,-30833866752.0,0.33869306843882324,0.6613069315611767,0.2769478991912409,0.050417580314219085,0.32736548929104603,-0.5893114391935425,0.6726345694224704,0
6,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2017-12-31,사업보고서,2354233737216.0,318877073408.0,2035356663808.0,1907060899840.0,1207742889984.0,699317944320.0,447172870144.0,160276840448.0,0.13544834923022053,0.8645516507697795,0.5130089127905443,0.2970469470660881,0.8100558876941402,0.06808025809601022,0.18994412622461374,3
7,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2018-12-31,사업보고서,2575139340288.0,1512070840320.0,1063068631040.0,2083331506176.0,1609070149632.0,474261323776.0,491807965184.0,157174677504.0,0.5871802028976391,0.4128198480013543,0.6248477992853171,0.18416918896627912,0.8090170009763444,0.06103540691760074,0.1909830499226488,3
8,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-03-31,1분기보고서,1673047703552.0,450140831744.0,1222906871808.0,1241710985216.0,790322348032.0,451388702720.0,431336685568.0,278771662848.0,0.2690543914488025,0.7309456085511974,0.4723848258206202,0.269800258391718,0.7421850450407115,0.1666250533419626,0.2578149353734752,0
9,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-06-30,반기보고서,1740844826624.0,476167307264.0,1264677552128.0,1342389354496.0,745156444160.0,597232844800.0,398455504896.0,248842518528.0,0.2735265659417937,0.726473452881251,0.4280430011703416,0.34307069513955857,0.7711137339559896,0.14294353794334294,0.2288862848670551,0
10,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-09-30,3분기보고서,1805733330944.0,421173854208.0,1384559411200.0,1397826781184.0,722843271168.0,674983510016.0,407906549760.0,252195602432.0,0.2332425541416013,0.7667574095651106,0.4003045514977079,0.3738002164822048,0.7741047679799127,0.13966381309479256,0.2258952320200873,0
11,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-12-31,사업보고서,1803255283712.0,501055389696.0,1302199795712.0,1455914090496.0,796837085184.0,659077005312.0,347341160448.0,198771802112.0,0.2778615952060752,0.7221383502791809,0.4418881188822646,0.3654929012354204,0.8073810201176851,0.11022943002436593,0.19261896171073373,0
12,[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2020-03-31,1분기보고서,1768247656448.0,446681153536.0,1303934926848.0,1434722369536.0,735306121216.0,699416248320.0,333525385216.0,185884868608.0,0.2526123260546427,0.7374164597889548,0.4158388778487396,0.3955420191111495,0.8113808969598891,0.10512377490232316,0.18861915863413345,0
13,[006840],AK홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,2944784400384.0,1218481881088.0,1726302388224.0,1792720240640.0,1307593932800.0,485126307840.0,1152064028672.0,394101587968.0,0.4137762618306148,0.5862236936595053,0.44403723838984266,0.16474085769292296,0.6087780960827656,0.13383037071121714,0.3912218594073545,0
14,[006840],AK홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,3397931237376.0,1306700283904.0,2091230953472.0,1924033544192.0,1331030392832.0,593003216896.0,1473897693184.0,490318462976.0,0.3845576006750152,0.6154423993249848,0.3917178718012751,0.1745188985501477,0.5662367510643933,0.14429911281978766,0.4337632489356067,0
15,[006840],AK홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,4313227198464.0,1383348568064.0,2929878630400.0,2807567745024.0,1487606382592.0,1319961362432.0,1505659322368.0,514376925184.0,0.3207223975024153,0.6792776024975847,0.3448940466483558,0.30602639316149555,0.6509204398098514,0.11925569915889818,0.34907952980176565,0
16,[006840],AK홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,4269534085120.0,1309891362816.0,2959642722304.0,2761930309632.0,1474586345472.0,1287343964160.0,1507603906560.0,517893095424.0,0.30679960311856463,0.6932003968814353,0.3453740656647211,0.3015186056592444,0.6468926713239656,0.12129967464809314,0.3531073593754029,0
17,[006840],AK홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,4262163906560.0,1253975523328.0,3008188383232.0,2789258297344.0,1440514834432.0,1348743593984.0,1472905478144.0,518021873664.0,0.2942110042736685,0.7057889957263315,0.33797734343694963,0.31644573591084,0.6544230485953355,0.12153964160474914,0.34557692065221035,0
18,[006840],AK홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,4327964672000.0,1327786622976.0,3000178049024.0,2898025775104.0,1565481500672.0,1332544143360.0,1429938896896.0,496483172352.0,0.3067923894033117,0.6932076105966883,0.3617130959501511,0.30789164060902946,0.6696047668440858,0.1147151628949341,0.33039523315591424,0
19,[006840],AK홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,4166508609536.0,1186729033728.0,2979779575808.0,2857050570752.0,1521319542784.0,1335731027968.0,1309457907712.0,437425012736.0,0.28482577259336544,0.7151742274066345,0.3651305410247119,0.3205876077900995,0.6857181488148114,0.10498598556471324,0.3142818197267152,0
20,[054620],APS홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,231782973440.0,83530219520.0,148252753920.0,48506789888.0,21478412288.0,27028375552.0,183276175360.0,744178450432.0,0.3603811715773975,0.6396188284226025,0.09266604862828702,0.11661070332673355,0.20927676079087235,3.2106691850022373,0.7907232038657205,2
21,[054620],APS홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,283203895296.0,54504525824.0,228699357184.0,47614275584.0,20784119808.0,26830153728.0,235589599232.0,750734934016.0,0.1924568366795689,0.8075431199311974,0.07338924412136627,0.09473794030960477,0.16812719166250994,2.6508637292271153,0.8318727360221005,2
22,[054620],APS홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,277452619776.0,47389646848.0,230062981120.0,45138132992.0,18965071872.0,26173061120.0,232314503168.0,748155830272.0,0.1708026649244105,0.8291973646013514,0.06835427211792543,0.0943334438187345,0.16268771593665993,2.6965174481899643,0.8373123431148639,2
23,[054620],APS홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,282808811520.0,42908909568.0,239899901952.0,53255204864.0,19816964096.0,33438240768.0,229553602560.0,746781278208.0,0.15172408998637413,0.8482759100136259,0.07007194715571499,0.11823620554211507,0.18830815269783005,2.640587024832457,0.8116918328188871,2
24,[054620],APS홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,283879833600.0,40633028608.0,243246809088.0,55517143040.0,36476862464.0,19040280576.0,228362698752.0,745950806016.0,0.14313460767084232,0.8568654067577981,0.1284940251000626,0.06707162088459108,0.1955656459846537,2.6276991801646603,0.8044343828726268,2
25,[054620],APS홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,297708257280.0,56460963840.0,241247272960.0,82922504192.0,43557314560.0,39365185536.0,214785736704.0,734296932352.0,0.1896519913685076,0.8103479398393125,0.1463087216927059,0.13222738897354913,0.27853612442469106,2.4664983734776977,0.7214638205415651,2
26,[054620],APS홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,296237006848.0,50929606656.0,245307408384.0,82028838912.0,43212935168.0,38815907840.0,214208167936.0,733865967616.0,0.17192182434563996,0.8280782033078936,0.14587284562381725,0.1310299082920337,0.2769027400890842,2.4772933517808213,0.7230972599109158,2
27,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2017-12-31,사업보고서,468030717952.0,324465328128.0,143565389824.0,378541375488.0,342537437184.0,36003942400.0,89489342464.0,19285170176.0,0.6932564801468358,0.30674351985316417,0.7318695633544501,0.07692645166015037,0.8087960062630379,0.041204924028037486,0.19120399373696192,3
28,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2018-12-31,사업보고서,420986945536.0,284424732672.0,136562204672.0,314571816960.0,291103014912.0,23468789760.0,106415128576.0,38343618560.0,0.6756141388419321,0.32438584169903223,0.6914775339206019,0.05574707246591594,0.7472246355750713,0.09108030300365004,0.25277536442492865,3
29,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-03-31,1분기보고서,402034950144.0,268078841856.0,133956108288.0,297241608192.0,276444512256.0,20797071360.0,104793366528.0,36658089984.0,0.6668048182377679,0.3331951817622321,0.6876131345222193,0.051729510960554434,0.7393427066117875,0.09118135120061052,0.2606573545172263,3
30,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-06-30,반기보고서,393439805440.0,254344740864.0,139095048192.0,283014365184.0,260132405248.0,22881966080.0,110425423872.0,42278678528.0,0.6464641791380406,0.3535357792189945,0.6611745981245675,0.058158746938201014,0.7193333294466566,0.10745907745841324,0.2806666289103785,3
31,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-09-30,3분기보고서,420276469760.0,283736113152.0,136540340224.0,307729104896.0,288751714304.0,18977382400.0,112547364864.0,43673763840.0,0.6751177702478283,0.32488219076830954,0.6870518220277534,0.04515452033476222,0.7322063618544468,0.10391674762315392,0.2677936381455533,3
32,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-12-31,사업보고서,420965875712.0,252429041664.0,168536817664.0,306842992640.0,286807556096.0,20035407872.0,114122899456.0,45315932160.0,0.5996425274068938,0.40035743367308696,0.6813083260273969,0.04759390018992191,0.7289022943273527,0.10764751913288688,0.27109774459266656,3
33,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2020-03-31,1분기보고서,454781206528.0,288455688192.0,166325485568.0,333064568832.0,316122234880.0,16942333952.0,121716637696.0,52808749056.0,0.6342735452816921,0.3657263826660781,0.6951083957347673,0.037253812841883324,0.7323622085766507,0.11611902228582673,0.2676377914233493,3
34,[027410],BGF,649.0,기타 금융업,2017-12-31,사업보고서,858118619136.0,438201253888.0,419917332480.0,132887658496.0,89036873728.0,43850780672.0,725230944256.0,4262198771712.0,0.5106534739092419,0.4893464879048952,0.1037582354496015,0.05110107122037665,0.15485931144321102,4.966910956906413,0.8451406694638575,1
