종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,현금,현금성자산,정부보조금,금융자산(유동),매출채권 및 기타유동채권,매출채권,대손충당금(유동),단기미수금,공사미수금,분양미수금,대행미수금,단기미수수익,단기선급금,부가가치세대급금,단기선급비용,단기선급공사원가,단기공사유보금,단기미청구공사,유동계약자산,당기법인세자산,재고자산,원재료,재고자산평가충당금,시험재료,상품,소모품,재공품,제품,반제품,저장품,미착품,부산물,완성주택,용지,기타재고,유동확정계약자산,유동생물자산,기타유동자산,유동배출권,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,비유동자산,금융자산(비유동),장기매출채권 및 기타비유동채권,장기매출채권,현재가치할인차금,대손충당금(비유동),장기미수금,장기공사미수금,장기분양미수금,장기대행미수금,장기미수수익,장기선급금,장기선급비용,장기미청구공사,비유동계약자산,장기공사유보금,유형자산,토지,건물,건물부대설비,시설물,구축물,기계장치,차량운반구,공급설비,전산장비/전산설비,공구와기구,사용권자산,임차구축물,집기,사무용비품,유형탐사평가자산,건설중인자산,렌탈자산,선박,기타유형자산,영업권,영업권 이외의 무형자산,브랜드명,무형탐사평가자산,제호와 출판표제,컴퓨터소프트웨어,라이선스와 프랜차이즈,"저작권, 특허권, 기타 산업재산권, 용역운영권","조리법, 공식, 모형, 설계 및 시제품",실용신안권,전신전화가입권,완성프로그램,미완성프로그램,사용수익기부자산,전산자동화개발,차지권,채굴권,토지사용권,개발 중인 무형자산,비유동배출권,기타무형자산,비유동확정계약자산,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,비유동생물자산,이연법인세자산,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 비유동 비현금담보물,기타비유동자산,자산총계,부채 [abstract],유동부채,매입채무 및 기타유동채무,단기매입채무,단기초과청구공사,유동계약부채,단기미지급금,미지급배당금,단기미지급비용,금융부채(유동),단기기타보증금,단기예수금,추심예수금,부가가치세예수금,단기예수보증금,단기선수금,공사선수금,분양선수금,단기이연수익,단기선수수익,단기선수임대료,유동성장기미지급금,미지급법인세,당기법인세부채,유동확정계약부채,유동충당부채,유동종업원급여충당부채,유동판매보증충당부채,유동하자보수충당부채,유동반품충당부채,유동공사손실충당부채,단기제품보증충당부채,단기구조조정충당부채,단기법적소송충당부채,단기손실부담계약충당부채,"단기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타단기충당부채,매각예정으로 분류된 처분자산집단에 포함된 부채,기타유동부채,유동배출부채,비유동부채,장기매입채무 및 기타비유동채무,장기매입채무,장기초과청구공사,비유동계약부채,장기미지급금,장기미지급비용,금융부채(비유동),장기기타보증금,장기예수금,장기예수보증금,장기선수금,장기공사선수금,장기이연수익,장기선수수익,장기선수임대료,비유동확정계약부채,비유동충당부채,비유동종업원급여충당부채,비유동반품충당부채,비유동하자보수충당부채,비유동판매보증충당부채,비유동공사손실충당부채,장기제품보증충당부채,장기구조조정충당부채,장기법적소송충당부채,장기손실부담계약충당부채,"장기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타장기충당부채,퇴직급여부채,확정급여채무의현재가치,사외적립자산의공정가치,퇴직급여운용자산/퇴직연금운용자산(부채),퇴직보험예치금(부채),이연법인세부채,기타비유동부채,비유동배출부채,부채총계,자본 [abstract],이익잉여금(결손금),자본총계,자본과부채총계
[060310],3S,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,3.0,2019-03-31,사업보고서,KRW,,,18079336448.0,6937695744.0,,,,58024048.0,6030667264.0,,0.0,,,,,,,,,2522878720.0,,0.0,,2122044.0,1752878080.0,,0.0,,,,,,,,,,,,,,,775069760.0,,,,35249885184.0,5667383296.0,349781728.0,,0.0,0.0,,,,,,,,,,,28022558720.0,,,,,,,,,,,,,,,,,,,,,1188416384.0,,,,,,,,,,,,,,,,,,,,,,,,,,21744706.0,53329219584.0,,17221416960.0,2655260928.0,,0.0,,,,,11249653376.0,,,,,,,,,,,,,,88357744.0,,,,,359823968.0,,,,,,,,,,2868321280.0,,1736120960.0,,,,,,,1736120920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18957539328.0,,-31672784896.0,34371682304.0,53329219584.0
[095570],AJ네트웍스,유가증권시장상장법인,763.0,산업용 기계 및 장비 임대업,12.0,2019-12-31,사업보고서,KRW,,,501055389696.0,122986209280.0,,,,,104945549312.0,,0.0,,,,,,,,,,,,,,58629570560.0,,0.0,,,,,,,,,,,,,,,37841838080.0,,,,1302199795712.0,163259462400.0,,,0.0,0.0,,,,,,,,,,,272817242112.0,,,,,,,,,,,138023796736.0,,,,,,622958149632.0,,,,83867607040.0,,,,,,,,,,,,,,,,,,,,,,,,19785203712.0,,1488364032.0,1803255283712.0,,796837085184.0,32556847104.0,,,,,,,677845968896.0,,,,,,,,,,,,,,63138000896.0,,,,,,,,,,,,,,,22521995264.0,,659077005312.0,,,,,,,652459297792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,981136640.0,5636558848.0,,1455914090496.0,,198771802112.0,347341160448.0,1803255283712.0
[006840],AK홀딩스,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,KRW,,,1327786622976.0,284885450752.0,,,,288763784384.0,,279222943744.0,0.0,,,,,,,,,,,,,,253714989056.0,,0.0,,,,,,,,,,,,,,,127204245504.0,,,,3000178049024.0,241792145792.0,,236544032.0,0.0,0.0,,,,,,,,,,,1430032875520.0,,,,,,,,,,,952819515392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206710521856.0,,,,,49334956032.0,,8646241280.0,4327964672000.0,,1565481500672.0,,329542795264.0,,,,,,636479796096.0,,,,,,,,,,,,,,26303508480.0,,,,,,,,,,,,,67791958016.0,,260750852096.0,,1332544143360.0,,,,,,,1018159116160.0,,,,,,,,,,,,,,,,,,,,,148239564800.0,18882594816.0,,,,,36280848384.0,10213695488.0,,2898025775104.0,,496483172352.0,1429938896896.0,4327964672000.0
[054620],APS홀딩스,코스닥시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,KRW,,,56460963840.0,5910961664.0,,,,30034287424.0,,4622319104.0,0.0,,,,,,,,,,,,,216283248.0,585929216.0,,0.0,,,,,,,,,,,,,,,1140913920.0,,,,241247272960.0,226228764288.0,,,0.0,0.0,,,,,,,,,,,12197944320.0,,,,,,,,,,,385867968.0,,,,,,,,,,1292371328.0,,,,,,,,,,,,,,,,,,,,,,,,363255008.0,,114314384.0,297708257280.0,,43557314560.0,,1538983808.0,,,,,,33915002336.0,,,,,,,,,,,,,,,,22500000.0,,,,,,,,,,,,,1770092288.0,,39365185536.0,,,,,,,33568919908.0,,,,,,,,,,,,,,,,,,,,,,1703393408.0,,,,,3651808256.0,174934544.0,,82922504192.0,,734296932352.0,214785736704.0,297708257280.0
[265520],AP시스템,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,12.0,2019-12-31,사업보고서,KRW,,,252429041664.0,30046318592.0,,,,0.0,43158810624.0,,0.0,,,,,,,,,,,,,,134134276096.0,,0.0,,,,,,,,,,,,,,,12379057152.0,,,,168536817664.0,12944796152.0,4419496448.0,,0.0,0.0,,,,,,,,,39151857664.0,,86679281664.0,,,,,,,,,,,5283408896.0,,,,,,,,,,6823275008.0,,,,,,,,,,,,,,,,,,,,,,,,13234708480.0,,,420965875712.0,,286807556096.0,,80609787904.0,,,,,,129933911040.0,,,,,,,,,,,,,,2948812288.0,,6139594240.0,,,,,,,,,,,,,409176992.0,,20035407872.0,,,,,,,11123303168.0,,,,,,,,,,5068083712.0,,,,,,,,,,,,,1304546176.0,,,,,,,306842992640.0,,45315932160.0,114122899456.0,420965875712.0
[027410],BGF,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,KRW,,,319699386368.0,14422697984.0,,,,289937308672.0,11885837312.0,,0.0,,,,,,,,,,,,,129533840.0,2916200704.0,,0.0,,,,,,,,,,,,,,,407796928.0,,,,1337682034688.0,1087237260672.0,,,0.0,0.0,,,,,,,,,,,196153393152.0,,,,,,,,,,,22142795776.0,,,,,,,,,,23553593344.0,,,,,,,,,,,,,,,,,,,,,888661440.0,,,6232073728.0,,1474299008.0,1657381453824.0,,63739514880.0,3741330176.0,,,,,,,53118127104.0,,,,,,,,,,,,,,1846489600.0,,,,,,,,,,,,,,,5033569792.0,,65387220992.0,,,,,,,21388002496.0,,,,,,,,,,,,,,,,,,,,,,2521360384.0,,,,,41139163136.0,338694272.0,,129126735872.0,,672348766208.0,1528254693376.0,1657381453824.0
[282330],BGF리테일,유가증권시장상장법인,471.0,종합 소매업,12.0,2019-12-31,사업보고서,KRW,,,744140636160.0,28047949824.0,,,,565571145728.0,55903649792.0,,0.0,,,,,,,,,,,,,,90874462208.0,,0.0,,,,,,,,,,,,,,,3743450880.0,,,,1428270219264.0,282306197312.0,,,0.0,0.0,,,,,,,,,,,549816958976.0,,,,,,,,,,,514679242752.0,,,,,,,,,,48663896064.0,,,,,,,,,,,,,,,,,,,,,703758592.0,,,7939176960.0,,24161005568.0,2172410920960.0,,950726361088.0,533833416704.0,,,,,,,331616898560.0,,,,,,,,,,,,,,28567097344.0,,10472254464.0,,,,,,,,,,,,,46236663808.0,,599088758784.0,,,,,,,577516050432.0,,,,,,,,,,1565123200.0,,,,,,,,,,,,2379937280.0,,,,,1388353536.0,16239340544.0,,1549815119872.0,,261246582784.0,622595735552.0,2172410920960.0
[001460],BYC,유가증권시장상장법인,141.0,봉제의복 제조업,12.0,2019-12-31,사업보고서,KRW,,,118321889280.0,14794923008.0,,,,49999998976.0,1441923456.0,5923595264.0,0.0,,,,,,,,,,,,,,45676331008.0,,0.0,,,,,,,,,,,,,,,485111584.0,,,,575560941568.0,503815353088.0,,,0.0,0.0,,,,,,,,,,,68972511232.0,,,,,,,,,,,,,,,,,,,,,289695520.0,,,,,,,,,,,,,,,,,,,,,,,,2483399680.0,,,693882847232.0,,109379624960.0,13814107136.0,,,,,,,81124869344.0,,,,,,,,,,,,,,12124217344.0,,124526648.0,,,,,,,,,,,,,2191906048.0,,150175776768.0,,,,,,,130288686816.0,,,,,,,,,,807084992.0,,,,,,,,,,,,1734210432.0,,,,,,17345787904.0,,259555393536.0,,423837597696.0,434327453696.0,693882847232.0
[001040],CJ,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,KRW,,,10638225047552.0,1602642378752.0,,,,1604270349888.0,,3580221718528.0,0.0,,,,,,412362473472.0,,,,,,328315699200.0,,2549025341440.0,,0.0,,,,,,,,,,,,,,125465944064.0,435920830464.0,,,,29228665929728.0,2865644767232.0,,116013834240.0,0.0,0.0,,,,,,,,,39345192960.0,,13517262422016.0,,,,,,,,,,,4832571162624.0,,,,,,,,,,7005911121920.0,,,,,,,,,,,,,,,,,,,,,,,,389331288064.0,,462586150912.0,40381366403072.0,,12283359002624.0,,2743572627456.0,,128401940480.0,1413139136512.0,,,6931406571520.0,,,,,,,,,,,,,283980791808.0,,,82788065280.0,,,,,,,,,,,,,700070166528.0,,13481603497984.0,,,,122000334848.0,,,11506453405696.0,,,205803814912.0,,,,,,,65944346624.0,,,,,,,,,,,,325323390976.0,,,,,1096510996480.0,159567282176.0,,25766280560640.0,,3533424558080.0,14615084793856.0,40381366403072.0
[079160],CJ CGV,유가증권시장상장법인,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",12.0,2019-12-31,사업보고서,KRW,,,677012701184.0,351664144384.0,,,,27020812288.0,180323483648.0,,0.0,,,,,,,,,,,,,1502470400.0,21571387392.0,,0.0,,,,,,,,,,,,,,,94930386944.0,,,,3847034241024.0,162206896128.0,30963941376.0,,0.0,0.0,,,,,,,,,,,924155904000.0,,,,,,,,,,,2222523940864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336280879104.0,,2380027392.0,,,86136250368.0,,82386264064.0,4524047073280.0,,1120212877312.0,781928300544.0,120865374208.0,,,160384483328.0,,,675077449728.0,,,,,,,,,,,,,31664744448.0,,,,,,,,,,,,,,,,132220837888.0,,2802724110336.0,353489059840.0,,,,32024889344.0,,2719223513088.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,24329697280.0,27145928704.0,,3922936987648.0,,15290150912.0,601109889024.0,4524047073280.0
