종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[060310],3S,292.0,특수 목적용 기계 제조업,2017-03-31,사업보고서,53706903552.0,16712868864.0,36994035712.0,24527237120.0,15356227584.0,9171008512.0,29179666432.0,-30929575936.0,0.5433131404372944,0.4566868595627056,5
[060310],3S,292.0,특수 목적용 기계 제조업,2018-03-31,사업보고서,49521000448.0,12801670144.0,36719329280.0,18768660480.0,12539083776.0,6229576704.0,30752337920.0,-32361814016.0,0.6209958934955643,0.37900406514824375,1
[060310],3S,292.0,특수 목적용 기계 제조업,2019-03-31,사업보고서,53329219584.0,18079336448.0,35249885184.0,18957539328.0,17221416960.0,1736120960.0,34371682304.0,-31672784896.0,0.6445187567363596,0.3554812816666025,1
[060310],3S,292.0,특수 목적용 기계 제조업,2019-06-30,1분기보고서,52757966848.0,17545668608.0,35212300288.0,17607618560.0,13460222976.0,4147396096.0,35150348288.0,-30887997440.0,0.6662566885731404,0.33374331142685965,1
[060310],3S,292.0,특수 목적용 기계 제조업,2019-09-30,반기보고서,51617583104.0,17092746240.0,34524835840.0,16747140096.0,14094464000.0,2652676096.0,34870439936.0,-31170967552.0,0.6755535195389221,0.32444642094647425,1
[060310],3S,292.0,특수 목적용 기계 제조업,2019-12-31,3분기보고서,52321853440.0,17721049088.0,34600804352.0,17128369152.0,14490427392.0,2637941248.0,35193487360.0,-30833866752.0,0.6726345694224704,0.32736548929104603,1
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2017-12-31,사업보고서,2354233737216.0,318877073408.0,2035356663808.0,1907060899840.0,1207742889984.0,699317944320.0,447172870144.0,160276840448.0,0.18994412622461374,0.8100558876941402,4
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2018-12-31,사업보고서,2575139340288.0,1512070840320.0,1063068631040.0,2083331506176.0,1609070149632.0,474261323776.0,491807965184.0,157174677504.0,0.1909830499226488,0.8090170009763444,4
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-03-31,1분기보고서,1673047703552.0,450140831744.0,1222906871808.0,1241710985216.0,790322348032.0,451388702720.0,431336685568.0,278771662848.0,0.2578149353734752,0.7421850450407115,4
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-06-30,반기보고서,1740844826624.0,476167307264.0,1264677552128.0,1342389354496.0,745156444160.0,597232844800.0,398455504896.0,248842518528.0,0.2288862848670551,0.7711137339559896,4
