,회사명,항목명,항목코드,당기
27995,범양건영,0유동성외화사채,entity00122694_udf_BS_2019326181941142_CurrentLiabilities,0.0
24605,메디앙스,FVPL금융자산,entity00267854_udf_BS_2020320182023736_NoncurrentAssets,38271332000.0
70155,특수건설,가설재,entity00186939_udf_BS_201833181525863_Inventories,1326587400.0
14915,대림통상,감가삭각누계액사용권자산,entity00109824_udf_BS_2020325115637115_NoncurrentAssets,840252600.0
79021,한창,개발비,entity00163716_udf_BS_202032416549596_udf_BS_2017119141834791_NoncurrentAssets,
52112,웅진씽크빅,개발비,entity00628189_udf_BS_2017111017283797_IntangibleAssetsOtherThanGoodwill,245140390000.0
51962,웅진,개발비,entity00143651_udf_BS_201711316446226_IntangibleAssetsOtherThanGoodwill,253525480000.0
19744,동일기연,개발비,entity00199076_udf_BS_2017111122854402_IntangibleAssetsOtherThanGoodwill,0.0
51963,웅진,개발비손상차손누계액,entity00143651_udf_BS_20193292011119_IntangibleAssetsOtherThanGoodwill,12346141000.0
52113,웅진씽크빅,개발비손상차손누계액,entity00628189_udf_BS_2017111016832874_IntangibleAssetsOtherThanGoodwill,12346141000.0
70197,특수건설,건설장비,entity00186939_udf_BS_2020330172526495_RightofuseAssets,4348654000.0
52103,웅진씽크빅,건설중인유형자산,entity00628189_udf_BS_202032518421663_PropertyPlantAndEquipment,0.0
12637,넥스트BT,결손금,entity00384717_udf_BS_2018327155057606_EquityAbstract,-45060250000.0
37733,신성이엔지,결손금,entity00136271_udf_BS_201811714178186_udf_BS_201811713479537_EquityAbstract,-63358448000.0
44913,에스티큐브,결손금,entity00273110_udf_BS_2017102010523144_EquityAbstract,-21690434000.0
41747,아이진,결손금,entity00945457_udf_BS_201981917441335_EquityAbstract,-53257548000.0
33524,서호전기,계약부채,entity00220622_udf_BS_2020330162048489_OtherCurrentLiabilities,4237078500.0
4515,LS산전,계약부채,entity00105855_udf_BS_20185913923486_CurrentLiabilities,102121760000.0
80341,현대리바트,계약부채,entity00300548_udf_BS_20193219158952_CurrentLiabilities,25531556000.0
14538,대교,계약부채,entity00108913_udf_BS_201859171855380_CurrentLiabilities,45602075000.0
75986,한국조선해양,계약부채,entity00164830_udf_BS_202022710380356_CurrentLiabilities,2463824300000.0
14546,대교,계약부채,entity00108913_udf_BS_201859171945222_NoncurrentLiabilities,189172850.0
