회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,항목코드,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,현금,현금성자산,정부보조금,단기금융상품,매출채권 및 기타유동채권,매출채권,대손충당금,단기금융리스채권,대손충당금,단기이연대출부대수익,대손충당금,단기미수금,대손충당금,공사미수금,대손충당금,분양미수금,대손충당금,대행미수금,대손충당금,단기미수수익,대손충당금,단기보증금자산,대손충당금,단기선급금,대손충당금,부가가치세대급금,단기선급비용,대손충당금,단기선급공사원가,대손충당금,단기임차보증금,대손충당금,단기공사유보금,유동회생채권,단기미청구공사,대손충당금,유동계약자산,단기대여금,대손충당금,당기법인세자산,재고자산,원재료,평가충당금,시험재료,평가충당금,상품,평가충당금,소모품,평가충당금,재공품,평가충당금,제품,평가충당금,반제품,평가충당금,저장품,평가충당금,미착품,평가충당금,부산물,평가충당금,완성주택,평가충당금,용지,평가충당금,기타재고,평가충당금,기타유동금융자산,유동매도가능금융자산,유동 기타포괄손익-공정가치 측정 금융자산,유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,유동만기보유금융자산,유동 상각후원가 측정 금융자산,유동단기매매금융자산,유동 당기손익-공정가치 의무 측정 금융자산,유동당기손익인식지정금융자산,유동 당기손익-공정가치 측정 지정 금융자산,유동파생상품자산,유동확정계약자산,유동생물자산,정부보조금,감가상각누계액,손상차손누계액,기타유동자산,유동배출권,정부보조금,손상차손누계액,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,비유동자산,장기금융상품,장기매출채권 및 기타비유동채권,장기매출채권,현재가치할인차금,대손충당금,장기금융리스채권,현재가치할인차금,대손충당금,장기이연대출부대손익,현재가치할인차금,대손충당금,장기미수금,현재가치할인차금,대손충당금,장기공사미수금,현재가치할인차금,대손충당금,장기분양미수금,현재가치할인차금,대손충당금,장기대행미수금,현재가치할인차금,대손충당금,장기미수수익,현재가치할인차금,대손충당금,장기보증금자산,현재가치할인차금,대손충당금,장기선급금,현재가치할인차금,대손충당금,장기선급비용,현재가치할인차금,대손충당금,장기대여금,현재가치할인차금,대손충당금,장기임차보증금,현재가치할인차금,대손충당금,장기미청구공사,현재가치할인차금,대손충당금,비유동계약자산,장기공사유보금,현재가치할인차금,대손충당금,비유동회생채권,유형자산,토지,정부보조금,손상차손누계액,건물,정부보조금,감가상각누계액,손상차손누계액,건물부대설비,정부보조금,감가상각누계액,손상차손누계액,시설물,정부보조금,감가상각누계액,손상차손누계액,구축물,정부보조금,감가상각누계액,손상차손누계액,기계장치,정부보조금,감가상각누계액,손상차손누계액,차량운반구,정부보조금,감가상각누계액,손상차손누계액,공급설비,정부보조금,감가상각누계액,손상차손누계액,전산장비/전산설비,정부보조금,감가상각누계액,손상차손누계액,공구와기구,정부보조금,감가상각누계액,손상차손누계액,금융리스자산,정부보조금,감가상각누계액,손상차손누계액,사용권자산,임차구축물,정부보조금,감가상각누계액,손상차손누계액,집기,정부보조금,감가상각누계액,손상차손누계액,사무용비품,정부보조금,감가상각누계액,손상차손누계액,유형탐사평가자산,정부보조금,감가상각누계액,손상차손누계액,건설중인자산,정부보조금,손상차손누계액,렌탈자산,정부보조금,감가상각누계액,손상차손누계액,선박,정부보조금,감가상각누계액,손상차손누계액,기타유형자산,정부보조금,감가상각누계액,손상차손누계액,투자부동산,정부보조금,감가상각누계액,손상차손누계액,영업권,손상차손누계액,영업권 이외의 무형자산,브랜드명,정부보조금,감가상각누계액,손상차손누계액,무형탐사평가자산,정부보조금,감가상각누계액,손상차손누계액,제호와 출판표제,정부보조금,감가상각누계액,손상차손누계액,컴퓨터소프트웨어,정부보조금,감가상각누계액,손상차손누계액,라이선스와 프랜차이즈,정부보조금,감가상각누계액,손상차손누계액,"저작권, 특허권, 기타 산업재산권, 용역운영권",정부보조금,감가상각누계액,손상차손누계액,"조리법, 공식, 모형, 설계 및 시제품",정부보조금,감가상각누계액,손상차손누계액,실용신안권,정부보조금,감가상각누계액,손상차손누계액,전신전화가입권,정부보조금,감가상각누계액,손상차손누계액,완성프로그램,정부보조금,감가상각누계액,손상차손누계액,미완성프로그램,정부보조금,감가상각누계액,손상차손누계액,사용수익기부자산,정부보조금,감가상각누계액,손상차손누계액,전산자동화개발,정부보조금,감가상각누계액,손상차손누계액,차지권,정부보조금,감가상각누계액,손상차손누계액,채굴권,정부보조금,감가상각누계액,손상차손누계액,토지사용권,정부보조금,감가상각누계액,손상차손누계액,개발 중인 무형자산,정부보조금,손상차손누계액,비유동배출권,정부보조금,손상차손누계액,기타무형자산,정부보조금,감가상각누계액,손상차손누계액,기타비유동금융자산,비유동매도가능금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,비유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,비유동만기보유금융자산,비유동 상각후원가 측정 금융자산,비유동당기손익인식금융자산,비유동 당기손익-공정가치 측정 지정 금융자산,비유동 당기손익-공정가치 의무 측정 금융자산,비유동확정계약자산,비유동파생상품자산,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",종속기업에 대한 투자자산,조인트벤처에 대한 투자자산,관계기업에 대한 투자자산,지분법적용 투자지분,비유동생물자산,정부보조금,감가상각누계액,손상차손누계액,이연법인세자산,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 비유동 비현금담보물,기타비유동자산,자산총계,부채 [abstract],유동부채,매입채무 및 기타유동채무,단기매입채무,단기초과청구공사,유동계약부채,단기미지급금,미지급배당금,단기미지급비용,단기임대보증금,단기기타보증금,단기예수금,추심예수금,부가가치세예수금,단기예수보증금,단기선수금,공사선수금,분양선수금,투자선수금,단기이연수익,단기선수수익,단기선수임대료,단기차입금,유동성장기차입금,유동성장기미지급금,유동성사채,유동성전환사채,유동성신주인수권부사채,유동성전환상환우선주부채,유동성교환사채,유동성금융리스부채,유동리스부채,유동회생채무,미지급법인세,당기법인세부채,기타유동금융부채,유동단기매매금융부채,유동 단기매매정의 충족 금융부채,유동당기손익인식지정금융부채,유동 당기손익-공정가치 측정 지정 금융부채,유동 상각후원가 측정 금융부채,유동금융보증부채,유동파생상품부채,유동확정계약부채,유동충당부채,유동종업원급여충당부채,유동판매보증충당부채,유동하자보수충당부채,유동반품충당부채,유동공사손실충당부채,단기제품보증충당부채,단기구조조정충당부채,단기법적소송충당부채,단기손실부담계약충당부채,"단기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타단기충당부채,매각예정으로 분류된 처분자산집단에 포함된 부채,기타유동부채,유동배출부채,비유동부채,장기매입채무 및 기타비유동채무,장기매입채무,현재가치할인차금,장기초과청구공사,비유동계약부채,장기미지급금,현재가치할인차금,장기미지급비용,현재가치할인차금,장기임대보증금,현재가치할인차금,장기기타보증금,현재가치할인차금,장기예수금,현재가치할인차금,장기예수보증금,현재가치할인차금,장기선수금,현재가치할인차금,장기공사선수금,현재가치할인차금,장기이연수익,현재가치할인차금,장기선수수익,장기선수임대료,현재가치할인차금,장기차입금,현재가치할인차금,사채,사채상환할증금,사채할인발행차금,사채할증발행차금,전환사채,전환사채상환할증금,전환사채전환권조정,전환사채할인발행차금,전환사채할증발행차금,신주인수권부사채,신주인수권부사채상환할증금,신주인수권부사채할인발행차금,신주인수권부사채할증발행차금,전환상환우선주부채,전환상환우선주부채상환할증금,전환상환우선주부채할인발행차금,전환상환우선주부채할증발행차금,교환사채,교환사채상환할증금,교환사채전환권조정,교환사채할인발행차금,교환사채할증발행차금,비유동금융리스부채,비유동리스부채,비유동회생채무,기타비유동금융부채,비유동당기손익인식금융부채,비유동 단기매매정의 충족 금융부채,비유동 당기손익-공정가치 측정 지정 금융부채,비유동 상각후원가 측정 금융부채,비유동금융보증부채,비유동파생상품부채,비유동확정계약부채,비유동충당부채,비유동종업원급여충당부채,비유동반품충당부채,비유동하자보수충당부채,비유동판매보증충당부채,비유동공사손실충당부채,장기제품보증충당부채,장기구조조정충당부채,장기법적소송충당부채,장기손실부담계약충당부채,"장기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타장기충당부채,퇴직급여부채,확정급여채무의현재가치,사외적립자산의공정가치,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,이연법인세부채,기타비유동부채,비유동배출부채,부채총계,자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,보통주자본금,우선주자본금,자본잉여금,주식발행초과금,감자차익,자기주식처분이익,전환권대가,신주인수권대가,교환권대가,기타자본잉여금,기타자본구성요소,신주청약증거금,주식할인발행차금,자기주식,감자차손,자기주식처분손실,주식선택권,미가득주식,출자전환채무,기타자본조정,기타포괄손익누계액,재평가잉여금,확정급여제도의 재측정손익,매도가능금융자산평가이익,매도가능금융자산평가손실,기타포괄손익-공정가치 측정 금융자산 평가이익 적립금,기타포괄손익-공정가치 측정 금융자산 평가손실 적립금,지분상품투자에 대한 위험회피수단 평가이익 적립금,지분상품투자에 대한 위험회피수단 평가손실 적립금,옵션의 시간가치 변동 적립금,선도계약의 선도요소 가치 변동 적립금,외화베이시스스프레드 변동 적립금,지분상품투자 평가이익 적립금,지분상품투자 평가손실 적립금,신용위험 변동에 의한 금융부채 공정가치 변동 적립금,해외사업환산이익,해외사업환산손실,현금흐름위험회피파생상품평가이익,현금흐름위험회피파생상품평가손실,지분법기타포괄손익변동,이익잉여금(결손금),이익준비금,기타법정적립금,임의적립금,미처분이익잉여금(미처리결손금),비지배지분,자본총계,자본과부채총계
[060310],3S,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,3.0,2019-03-31,사업보고서,,,18079336448.0,6937695744.0,,,,58024048.0,6030667264.0,,,,,,,,,,,,,,,,,,,,,,,,2522878720.0,,,,,,0.0,,,,,2122044.0,1752878080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775069760.0,,,,,,35249885184.0,968231616.0,349781728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28022558720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416298624.0,,,,,,1188416384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2274771968.0,,,,,,,,,1008081088.0,,,,,,,,21744706.0,53329219584.0,,17221416960.0,2655260928.0,,0.0,,,,,,,,,,,,,,,,,,8930472960.0,740000000.0,,,1579180416.0,,,,,,,,88357744.0,,,,,,,,,,,,,359823968.0,,,,,,,,,,2868321280.0,,1736120960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1679949952.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,56170968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18957539328.0,,34371682304.0,22386071552.0,,,43664879616.0,,,,,,,,-6484448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31672784896.0,,,,,0.0,34371682304.0,53329219584.0
[095570],AJ네트웍스,유가증권시장상장법인,763.0,산업용 기계 및 장비 임대업,12.0,2019-12-31,사업보고서,,,501055389696.0,122986209280.0,,,,,104945549312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58629570560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70827761664.0,,,,,,,83568607232.0,,,,,,,,,37841838080.0,,,,,,1302199795712.0,2991049984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272817242112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138023796736.0,,,,,,,,,,,,,,,,,,,,622958149632.0,,,,,,,,,,,,2966232576.0,,,,,,83867607040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78062354432.0,,12704303104.0,,,,,49540726784.0,,,,,,,,,,,,,,,19785203712.0,,1488364032.0,1803255283712.0,,796837085184.0,32556847104.0,,,,,,,,,,,,,,,,,,,,291467296768.0,121263218688.0,,173293780992.0,,,,,,,,,63138000896.0,67716485120.0,,,,,,,,,,,,,,,,,,,,,,22521995264.0,,659077005312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,358407176192.0,,166515343360.0,,,,,,,,,,,,,,,,,,,,,,,116666671104.0,,10870107136.0,,,,,,,,,,,,,,,,,,,,,,,,,981136640.0,5636558848.0,,1455914090496.0,,318484348928.0,46822293504.0,,,100667326464.0,,,,,,,,-24721096704.0,,,,,,,,,,-3055969792.0,,,,,,,,,,,,,,,,,,,,198771802112.0,,,,,28856799232.0,347341160448.0,1803255283712.0
[006840],AK홀딩스,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,,,1327786622976.0,284885450752.0,,,,,,279222943744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253714989056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25579433984.0,0.0,16524224.0,,,,,,,,1770313984.0,,,,,,127204245504.0,,,,,,3000178049024.0,,,236544032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430032875520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952819515392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117535047680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206710521856.0,,,,394864640.0,0.0,3809392896.0,,,,0.0,,,,1704878208.0,,,84853858304.0,,,,,,,,,49334956032.0,,8646241280.0,4327964672000.0,,1565481500672.0,,329542795264.0,,,,,,,,,,,,,,,,,,,635447279616.0,,,,,,,,,,,,26303508480.0,,,,,,,,1032516480.0,,,,,,,,,,,,,67791958016.0,,260750852096.0,,1332544143360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1017137332224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021783936.0,,,,,,,,,,,,,148239564800.0,18882594816.0,,,,,36280848384.0,10213695488.0,,2898025775104.0,,827282292736.0,66237804544.0,,,264892350464.0,,,,,,,,-5581176320.0,,,,,,,,,,5250166272.0,,,,,,,,,,,,,,,,,,,,496483172352.0,,,,,602656538624.0,1429938896896.0,4327964672000.0
[054620],APS홀딩스,코스닥시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,,,56460963840.0,5910961664.0,,,,,,4622319104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216283248.0,585929216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26181951488.0,,,,,,,,,1140913920.0,,,,,,241247272960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12197944320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385867968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50737950720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650835584.0,,,,,26056290304.0,,,,,,144783687680.0,,,,,,,,,363255008.0,,114314384.0,297708257280.0,,43557314560.0,,1538983808.0,,,,,,,,,,,,,,,,,,,32279775232.0,,,,,,,,,307958624.0,,,,,,,,,,,1327268480.0,,22500000.0,,,,,,,,,,,,,1770092288.0,,39365185536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32888889344.0,,,,,,,,,,,,,,,,,,,,,,,,,60400292.0,,,,,,,,619630272.0,,,,,,,,,,,,,,1703393408.0,,,,,3651808256.0,174934544.0,,82922504192.0,,214753984512.0,10895916032.0,10197110784.0,698806016.0,124353773568.0,124353773568.0,,,,,,,-641580597248.0,,,,,,,,,,-13212022784.0,,,,,,,,,,,,,,,,,,,,734296932352.0,,,,,31752356.0,214785736704.0,297708257280.0
[265520],AP시스템,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,12.0,2019-12-31,사업보고서,,,252429041664.0,30046318592.0,,,,0.0,43158810624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134134276096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,12379057152.0,,,,,,168536817664.0,,4419496448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39151857664.0,,,,,86679281664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283408896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12903822336.0,,,,,,6823275008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40973816.0,,,,,,,,,,,,,,,,,,,,,,13234708480.0,,,420965875712.0,,286807556096.0,,80609787904.0,,,,,,,,,,,,,,,,,,,127198584832.0,,,,,,,,,2735326208.0,,,2948812288.0,,,,,,,,,,6139594240.0,,,,,,,,,,,,,409176992.0,,20035407872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8888800256.0,,,,,,,,,,,,,,,,,,,,,,,,,2234502912.0,,,,,,,,,,5068083712.0,,,,,,,,,,,,,1304546176.0,,,,,,,306842992640.0,,114122899456.0,7640710656.0,,,,63674626048.0,,,,,,,-2489231872.0,,,,,,,,,,-19142692.0,,,,,,,,,,,,,,,,,,,,45315932160.0,,,,,0.0,114122899456.0,420965875712.0
[027410],BGF,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,,,319699386368.0,14422697984.0,,,,9004601344.0,11885837312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129533840.0,2916200704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7947136000.0,,,,,,,,272985571328.0,,,,,,,,407796928.0,,,,,,1337682034688.0,14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196153393152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22142795776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91858706432.0,,,,,,23553593344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471430144.0,,,,,,3656344064.0,,,,,888661440.0,,,,,,953576980480.0,,,,,6232073728.0,,1474299008.0,1657381453824.0,,63739514880.0,3741330176.0,,,,,,,,,,,,,,,,,,,,19224999936.0,7500000256.0,,,,,,,,,,,1846489600.0,26393126912.0,,,,,,,,,,,,,,,,,,,,,,5033569792.0,,65387220992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,827000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20561002496.0,,,,,,,,,,,,,,,,,,,,2521360384.0,,,888661440.0,,41139163136.0,338694272.0,,129126735872.0,,1502616485888.0,95716794368.0,,,,695100375040.0,,,,,,,57867030528.0,,,,,,,,,,-18416463872.0,,,,,,,,,,,,,,,,,,,,672348766208.0,,,,,25638236160.0,1528254693376.0,1657381453824.0
[282330],BGF리테일,유가증권시장상장법인,471.0,종합 소매업,12.0,2019-12-31,사업보고서,,,744140636160.0,28047949824.0,,,,59200000000.0,55903649792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90874462208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,146467356672.0,,,,,,,,359903789056.0,,,,,,,,3743450880.0,,,,,,1428270219264.0,304000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549816958976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514679242752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48663896064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250033799168.0,,756998976.0,,,,31211399168.0,,,,,703758592.0,,,,,,,,,,,7939176960.0,,24161005568.0,2172410920960.0,,950726361088.0,533833416704.0,,,,,,,,,,,,,,,,,,,,2294238720.0,,,,,,,,,,,,28567097344.0,329322659840.0,,,,,,,,,10472254464.0,,,,,,,,,,,,,46236663808.0,,599088758784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9434863616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,568081186816.0,,,,,,,,1565123200.0,,,,,,,,,,,,2379937280.0,,,703758592.0,,1388353536.0,16239340544.0,,1549815119872.0,,622595735552.0,17283905536.0,,,,321649410048.0,,,,,,,22415857664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246582784.0,,,,,,622595735552.0,2172410920960.0
[001460],BYC,유가증권시장상장법인,141.0,봉제의복 제조업,12.0,2019-12-31,사업보고서,,,118321889280.0,14794923008.0,,,,49999998976.0,1441923456.0,5923595264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45676331008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485111584.0,,,,,,575560941568.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68972511232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498271027200.0,,,,,,289695520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927520384.0,1405219968.0,,,,,,,,,,,,,,,3207585536.0,,,,,,2483399680.0,,,693882847232.0,,109379624960.0,13814107136.0,,,,,,,,,,,,,,,,,,,,56319315968.0,24500000768.0,,,,,,,,,,,12124217344.0,305552608.0,,,,,,,,,124526648.0,,,,,,,,,,,,,2191906048.0,,150175776768.0,,,,,,,,,,73495560192.0,,,,,,,,,,,,,,,,,56499998720.0,,,,,,,,,,,,,,,,,,,,,,,,,293127904.0,,,,,,,,,,807084992.0,,,,,,,,,,,,1734210432.0,,,,,,17345787904.0,,259555393536.0,,434346393600.0,4200000000.0,,,7962609664.0,3420000000.0,,,,,,4542609408.0,-348885696.0,,,348885696.0,,,,,,,-1304936576.0,,,,,,,,,,,,,,,,,,,,423837597696.0,2100000000.0,,389190516736.0,32547094528.0,-18947678.0,434327453696.0,693882847232.0
[001040],CJ,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,,,10638225047552.0,1602642378752.0,,,,1107425361920.0,,3580221718528.0,,,,,,,,,,,,,,,,,,412362473472.0,,,,,,,,,,,,,328315699200.0,50275540992.0,,,2549025341440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,412270231552.0,0.0,413713984.0,,,,,,,,33885501440.0,,125465944064.0,,,,435920830464.0,,,,,,29228665929728.0,,,116013834240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39345192960.0,,,,,13517262422016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832571162624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189686251520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711597293568.0,0.0,,,,,,298991648768.0,,,26200705024.0,,,,,,1639168868352.0,,,,,,389331288064.0,,462586150912.0,40381366403072.0,,12283359002624.0,,2743572627456.0,,128401940480.0,1413139136512.0,,,,,,,,,,,,,,,,3268625563648.0,,,,,,,,660451426304.0,,,283980791808.0,,912497573888.0,,,,,,,26483607552.0,,82788065280.0,,,,,,,,,,,,,700070166528.0,,13481603497984.0,,,,,122000334848.0,,,,,,,,,,,205803814912.0,,,,,,,,,,,2907878195200.0,,4033631485952.0,,,,,,,,,,,,,,,,,,,,,,,4040474755072.0,,39149690880.0,,,,,,485319278592.0,,65944346624.0,,,,,,,,,,,,325323390976.0,,,,,1096510996480.0,159567282176.0,,25766280560640.0,,4509606084608.0,179047366656.0,,,,992817512448.0,,,,,,,,,,,,,,,,-195683336192.0,,,,,,,,,,,,,,,,,,,,,3533424558080.0,,,,,10105479233536.0,14615084793856.0,40381366403072.0
[079160],CJ CGV,유가증권시장상장법인,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",12.0,2019-12-31,사업보고서,,,677012701184.0,351664144384.0,,,,,180323483648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502470400.0,21571387392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27020812288.0,,,,,,,,,,,,,,,,94930386944.0,,,,,,3847034241024.0,,30963941376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924155904000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222523940864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42992246784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336280879104.0,,,,64780406784.0,,,,,,,,,,,2380027392.0,,54434242560.0,,,,,,,,,86136250368.0,,82386264064.0,4524047073280.0,,1120212877312.0,781928300544.0,120865374208.0,,,160384483328.0,,,,,,,,,,,,,,,,235454742528.0,140288737280.0,,124934946816.0,,,,,,161595686912.0,,31664744448.0,,12803336192.0,,,,,,,,,,,,,,,,,,,,,,132220837888.0,,2802724110336.0,353489059840.0,,,,,32024889344.0,,,,,,,,,,,,,,,,,,,,,212904345600.0,,108559826944.0,,,,,,,,,,,,,,,,,,,,,,,2071751032832.0,,326008307712.0,,,,,,,,,0.0,,,,,,,,,,,,,,2380027392.0,,24329697280.0,27145928704.0,,3922936987648.0,,270368702464.0,10580656128.0,,,89157246976.0,,,,,,,,155340652544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15290150912.0,,,,,330741186560.0,601109889024.0,4524047073280.0
