재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기,Unnamed: 15
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,ifrs_CurrentTaxAssets,      당기법인세자산,"7,350,585","9,985,240",,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,entity00378363_udf_BS_2013826154955861_CurrentLiabilities,      초과청구공사,"266,246,535","1,030,830,226",,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,entity00378363_udf_BS_2015625161822343_CurrentLiabilities,      전환사채,"5,760,229,874",,,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[060310],3S,코스닥시장상장법인,291,일반 목적용 기계 제조업,3,2015-03-31,사업보고서,KRW,dart_ElementsOfOtherStockholdersEquity,   기타자본구성요소,"-422,286,281",,,
"재무상태표, 유동/비유동법-별도재무제표",[095570],AJ네트웍스,유가증권시장상장법인,693,산업용 기계 및 장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[095570],AJ네트웍스,유가증권시장상장법인,693,산업용 기계 및 장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[095570],AJ네트웍스,유가증권시장상장법인,693,산업용 기계 및 장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068400],AJ렌터카,유가증권시장상장법인,691,운송장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068400],AJ렌터카,유가증권시장상장법인,691,운송장비 임대업,12,2015-12-31,사업보고서,KRW,entity00201450_udf_BS_201531916124885_NoncurrentAssets,      관계기업 투자,"20,126,506,201","19,926,506,201",,
"재무상태표, 유동/비유동법-별도재무제표",[068400],AJ렌터카,유가증권시장상장법인,691,운송장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_OtherNoncurrentNonfinancialAssets,      기타비유동자산,"7,315,179,516","5,698,037,145",,
"재무상태표, 유동/비유동법-별도재무제표",[068400],AJ렌터카,유가증권시장상장법인,691,운송장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[068400],AJ렌터카,유가증권시장상장법인,691,운송장비 임대업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[006840],AK홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[006840],AK홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[006840],AK홀딩스,유가증권시장상장법인,715,"회사본부, 지주회사 및 경영컨설팅 서비스업",12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,      매출채권,"1,423,381,546",,,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,entity00296078_udf_BS_2015328143521938_NoncurrentAssets,      기타 자산,"85,301,371","163,634,703",,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_CurrentTaxLiabilities,      당기법인세부채,"2,531,312,533","430,321,459",,
"재무상태표, 유동/비유동법-별도재무제표",[054620],AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[211270],AP위성통신,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[211270],AP위성통신,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[211270],AP위성통신,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2015-12-31,사업보고서,KRW,ifrs_EquityAbstract,자본 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,entity00219097_udf_BS_201481617501635_CurrentAssets,      당기손익인식금융자산,"75,681,682,671","57,420,891,030",,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,entity00219097_udf_BS_2015879559508_CurrentAssets,      만기보유금융자산,"10,000,000,000",,,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,entity00219097_udf_BS_20163883844539_NoncurrentAssets,      당기손익인식금융자산,"32,966,096,000",,,
"재무상태표, 유동/비유동법-별도재무제표",[027410],BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2015-12-31,사업보고서,KRW,ifrs_LiabilitiesAbstract,부채  [abstract],,,,
