업종명,업종
,count
정보통신장비 소매업,170
금속 및 비금속 원료 재생업,214
토사석 광업,228
"인형,장난감 및 오락용품 제조업",260
숙박시설 운영업,282
신발 및 신발 부분품 제조업,301
산업용 농ㆍ축산물 및 동ㆍ식물 도매업,317
자동차 차체 및 트레일러 제조업,319
"증기, 냉온수 및 공기조절 공급업",342
축산업,343
그외 기타 개인 서비스업,347
가전제품 및 정보통신장비 소매업,431
"섬유제품 염색, 정리 및 마무리 가공업",487
투자기관,543
기타 전문 서비스업,551
자동차 재제조 부품 제조업,557
그외 기타 운송장비 제조업,586
"증기, 냉ㆍ온수 및 공기조절 공급업",602
편조원단 및 편조제품 제조업,612
개인 및 가정용품 임대업,621
전문디자인업,669
인쇄 및 인쇄관련 산업,705
"해체, 선별 및 원료 재생업 ",785
비료 및 질소화합물 제조업,797
"인형, 장난감 및 오락용품 제조업",829
그 외 기타 개인 서비스업,839
기타 비금속광물 광업,860
"그외 기타 전문, 과학 및 기술 서비스업",875
사업시설 유지ㆍ관리 서비스업,918
"과실, 채소 가공 및 저장 처리업",922
금융지원 서비스업,932
비알콜음료 및 얼음 제조업,941
교육지원 서비스업,1018
"건축자재, 철물 및 난방장치 도매업",1033
귀금속 및 장신용품 제조업,1034
석탄 광업,1066
일반 및 생활 숙박시설 운영업,1076
그외 기타 제품 제조업,1092
환경 정화 및 복원업,1092
악기 제조업,1119
제재 및 목재 가공업,1193
정기 항공 운송업,1197
기타 교육기관,1198
산업용 기계 및 장비 임대업,1204
"경비, 경호 및 탐정업",1213
철도장비 제조업,1279
편조원단 제조업,1291
의복 액세서리 제조업,1293
전기업,1305
자동차 판매업,1439
전문 디자인업,1449
"항공기,우주선 및 부품 제조업",1454
담배 제조업,1458
그 외 기타 운송장비 제조업,1639
도자기 및 기타 요업제품 제조업,1721
기타 상품 전문 소매업,1745
신탁업 및 집합투자업,1758
무기 및 총포탄 제조업,1827
비알코올음료 및 얼음 제조업,1829
자동차 부품 및 내장품 판매업,1869
기타 종이 및 판지 제품 제조업,1884
금융 지원 서비스업,1902
스포츠 서비스업,1979
음·식료품 및 담배 도매업,2041
알콜음료 제조업,2327
실내건축 및 건축마무리 공사업,2365
건물설비 설치 공사업,2379
연료 소매업,2536
기록매체 복제업,2537
기타 섬유제품 제조업,2691
음식점업,2790
기타 전기장비 제조업,2838
"그 외 기타 전문, 과학 및 기술 서비스업",3034
육상 여객 운송업,3214
수산물 가공 및 저장 처리업,3226
나무제품 제조업,3307
의료용품 및 기타 의약관련제품 제조업,3392
기반조성 및 시설물 축조관련 전문공사업,3461
기타 과학기술 서비스업,3463
"비료, 농약 및 살균, 살충제 제조업",3472
"안경, 사진장비 및 기타 광학기기 제조업",3536
"건축기술, 엔지니어링 및 관련기술 서비스업",3637
전기통신업,3671
