업종명,업종
전자부품 제조업,262
산업용 기계 및 장비 임대업,693
운송장비 임대업,691
"회사본부, 지주회사 및 경영컨설팅 서비스업",715
특수 목적용 기계 제조업,292
통신 및 방송 장비 제조업,264
종합 소매업,471
봉제의복 제조업,141
기타 사업지원 서비스업,759
"영화, 비디오물, 방송프로그램 제작 및 배급업",591
텔레비전 방송업,602
도로 화물 운송업,493
기타 식품 제조업,107
음·식료품 및 담배 도매업,463
의약품 제조업,212
투자기관,642
플라스틱제품 제조업,222
기타 섬유제품 제조업,139
1차 철강 제조업,241
기타 전문 도매업,467
유원지 및 기타 오락관련 서비스업,912
금속 및 비금속 원료 재생업,383
건물 건설업,411
합성고무 및 플라스틱 물질 제조업,203
영상 및 음향기기 제조업,265
오디오물 출판 및 원판 녹음업,592
자동차 부품 제조업,303
기타 화학제품 제조업,204
일반 목적용 기계 제조업,291
반도체 제조업,261
"증기, 냉온수 및 공기조절 공급업",353
"골판지, 종이 상자 및 종이 용기 제조업",172
소프트웨어 개발 및 공급업,582
기초화학물질 제조업,201
기초 의약물질 및 생물학적 제제 제조업,211
그외 기타 운송장비 제조업,319
해상 운송업,501
전기통신업,612
기타 정보 서비스업,639
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",631
전기 및 통신 공사업,423
상품 중개업,461
무기 및 총포탄 제조업,252
상품 종합 도매업,468
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",281
알콜음료 제조업,111
기타 금속가공제품 제조업,259
석유 정제품 제조업,192
기계장비 및 관련 물품 도매업,465
기타 운송관련 서비스업,529
부동산 임대 및 공급업,681
화학섬유 제조업,205
광고업,713
절연선 및 케이블 제조업,283
방적 및 가공사 제조업,131
1차 비철금속 제조업,242
자연과학 및 공학 연구개발업,701
스포츠 서비스업,911
가스 제조 및 배관공급업,352
가정용 기기 제조업,285
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",620
토목 건설업,412
"곡물가공품, 전분 및 전분제품 제조업",106
자동차용 엔진 및 자동차 제조업,301
가정용품 도매업,464
실내건축 및 건축마무리 공사업,424
유리 및 유리제품 제조업,231
기타 종이 및 판지 제품 제조업,179
금융지원 서비스업,661
전구 및 조명장치 제조업,284
고무제품 제조업,221
"펄프, 종이 및 판지 제조업",171
"안경, 사진장비 및 기타 광학기기 제조업",273
의료용 기기 제조업,271
의료용품 및 기타 의약관련제품 제조업,213
낙농제품 및 식용빙과류 제조업,105
비료 및 질소화합물 제조업,202
비알콜음료 및 얼음 제조업,112
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",272
작물 재배업,11
"구조용 금속제품, 탱크 및 증기발생기 제조업",251
자동차 부품 및 내장품 판매업,452
"서적, 잡지 및 기타 인쇄물 출판업",581
초등 교육기관,851
금속 주조업,243
도자기 및 기타 요업제품 제조업,232
"시멘트, 석회, 플라스터 및 그 제품 제조업",233
연료 소매업,477
선박 및 보트 건조업,311
동물용 사료 및 조제식품 제조업,108
직물직조 및 직물제품 제조업,132
정기 항공 운송업,511
자동차 판매업,451
"건축기술, 엔지니어링 및 관련기술 서비스업",721
기타 비금속 광물제품 제조업,239
기반조성 및 시설물 축조관련 전문공사업,421
육상 여객 운송업,492
"도축, 육류 가공 및 저장 처리업",101
기타 비금속광물 광업,72
어로 어업,31
나무제품 제조업,162
가구 제조업,320
컴퓨터 및 주변장치 제조업,263
사진장비 및 광학기기 제조업,273
일반 교습 학원,855
기타 과학기술 서비스업,729
여행사 및 기타 여행보조 서비스업,752
귀금속 및 장신용품 제조업,331
기록매체 복제업,182
그외 기타 제품 제조업,339
정보통신장비 소매업,473
"섬유, 의복, 신발 및 가죽제품 소매업",474
"그외 기타 전문, 과학 및 기술 서비스업",739
기타 전기장비 제조업,289
기타 교육기관,856
알코올음료 제조업,111
음식점업,561
토사석 광업,71
일차전지 및 축전지 제조업,282
수산물 가공 및 저장 처리업,102
"가죽, 가방 및 유사제품 제조업",151
악기 제조업,332
건물설비 설치 공사업,422
"인형,장난감 및 오락용품 제조업",334
전문디자인업,732
"항공기,우주선 및 부품 제조업",313
무점포 소매업,479
"섬유제품 염색, 정리 및 마무리 가공업",134
인쇄 및 인쇄관련 산업,181
"경비, 경호 및 탐정업",753
자동차 차체 및 트레일러 제조업,302
교육지원 서비스업,857
폐기물 처리업,382
편조원단 및 편조제품 제조업,133
"건축자재, 철물 및 난방장치 도매업",466
환경 정화 및 복원업,390
담배 제조업,120
그외 기타 개인 서비스업,969
기타 상품 전문 소매업,478
창작 및 예술관련 서비스업,901
"과실, 채소 가공 및 저장 처리업",103
전기업,351
제재 및 목재 가공업,161
철도장비 제조업,312
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",631
숙박시설 운영업,551
축산업,12
회사 본부 및 경영 컨설팅 서비스업,715
"해체, 선별 및 원료 재생업 ",383
자동차 신품 부품 제조업,303
기초 화학물질 제조업,201
"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",281
기타 금융업,649
연료용 가스 제조 및 배관공급업,352
"항공기, 우주선 및 부품 제조업",313
석탄 광업,51
전기 통신업,612
의복 액세서리 제조업,144
기타 금속 가공제품 제조업,259
의료용품 및 기타 의약 관련제품 제조업,213
"내화, 비내화 요업제품 제조업",232
"비료, 농약 및 살균, 살충제 제조업",203
음ㆍ식료품 및 담배 도매업,463
신탁업 및 집합투자업,642
그 외 기타 운송장비 제조업,319
생활용품 도매업,464
금융 지원 서비스업,661
비알코올음료 및 얼음 제조업,112
