업종명1,업종,업종명2
전자부품 제조업,262,전자부품 제조업
산업용 기계 및 장비 임대업,693,산업용 기계 및 장비 임대업
운송장비 임대업,691,운송장비 임대업
"회사본부, 지주회사 및 경영컨설팅 서비스업",715,"회사본부, 지주회사 및 경영컨설팅 서비스업"
회사 본부 및 경영 컨설팅 서비스업,715,"회사본부, 지주회사 및 경영컨설팅 서비스업"
특수 목적용 기계 제조업,292,특수 목적용 기계 제조업
통신 및 방송 장비 제조업,264,통신 및 방송 장비 제조업
종합 소매업,471,종합 소매업
봉제의복 제조업,141,봉제의복 제조업
기타 사업지원 서비스업,759,기타 사업지원 서비스업
"영화, 비디오물, 방송프로그램 제작 및 배급업",591,"영화, 비디오물, 방송프로그램 제작 및 배급업"
텔레비전 방송업,602,텔레비전 방송업
도로 화물 운송업,493,도로 화물 운송업
기타 식품 제조업,107,기타 식품 제조업
음·식료품 및 담배 도매업,463,음·식료품 및 담배 도매업
음ㆍ식료품 및 담배 도매업,463,음·식료품 및 담배 도매업
의약품 제조업,212,의약품 제조업
투자기관,642,투자기관
신탁업 및 집합투자업,642,투자기관
플라스틱제품 제조업,222,플라스틱제품 제조업
기타 섬유제품 제조업,139,기타 섬유제품 제조업
1차 철강 제조업,241,1차 철강 제조업
기타 전문 도매업,467,기타 전문 도매업
유원지 및 기타 오락관련 서비스업,912,유원지 및 기타 오락관련 서비스업
금속 및 비금속 원료 재생업,383,금속 및 비금속 원료 재생업
"해체, 선별 및 원료 재생업 ",383,금속 및 비금속 원료 재생업
건물 건설업,411,건물 건설업
합성고무 및 플라스틱 물질 제조업,203,합성고무 및 플라스틱 물질 제조업
"비료, 농약 및 살균, 살충제 제조업",203,합성고무 및 플라스틱 물질 제조업
영상 및 음향기기 제조업,265,영상 및 음향기기 제조업
오디오물 출판 및 원판 녹음업,592,오디오물 출판 및 원판 녹음업
자동차 부품 제조업,303,자동차 부품 제조업
자동차 신품 부품 제조업,303,자동차 부품 제조업
기타 화학제품 제조업,204,기타 화학제품 제조업
일반 목적용 기계 제조업,291,일반 목적용 기계 제조업
반도체 제조업,261,반도체 제조업
"증기, 냉온수 및 공기조절 공급업",353,"증기, 냉온수 및 공기조절 공급업"
"증기, 냉ㆍ온수 및 공기조절 공급업",353,"증기, 냉온수 및 공기조절 공급업"
"골판지, 종이 상자 및 종이 용기 제조업",172,"골판지, 종이 상자 및 종이 용기 제조업"
소프트웨어 개발 및 공급업,582,소프트웨어 개발 및 공급업
기초화학물질 제조업,201,기초화학물질 제조업
기초 화학물질 제조업,201,기초화학물질 제조업
기초 의약물질 및 생물학적 제제 제조업,211,기초 의약물질 및 생물학적 제제 제조업
그외 기타 운송장비 제조업,319,그외 기타 운송장비 제조업
그 외 기타 운송장비 제조업,319,그외 기타 운송장비 제조업
해상 운송업,501,해상 운송업
전기통신업,612,전기통신업
전기 통신업,612,전기통신업
기타 정보 서비스업,639,기타 정보 서비스업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업"
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업"
전기 및 통신 공사업,423,전기 및 통신 공사업
상품 중개업,461,상품 중개업
무기 및 총포탄 제조업,252,무기 및 총포탄 제조업
상품 종합 도매업,468,상품 종합 도매업
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",281,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
알콜음료 제조업,111,알콜음료 제조업
알코올음료 제조업,111,알콜음료 제조업
기타 금속가공제품 제조업,259,기타 금속가공제품 제조업
기타 금속 가공제품 제조업,259,기타 금속가공제품 제조업
석유 정제품 제조업,192,석유 정제품 제조업
기계장비 및 관련 물품 도매업,465,기계장비 및 관련 물품 도매업
기타 운송관련 서비스업,529,기타 운송관련 서비스업
부동산 임대 및 공급업,681,부동산 임대 및 공급업
화학섬유 제조업,205,화학섬유 제조업
광고업,713,광고업
절연선 및 케이블 제조업,283,절연선 및 케이블 제조업
방적 및 가공사 제조업,131,방적 및 가공사 제조업
1차 비철금속 제조업,242,1차 비철금속 제조업
자연과학 및 공학 연구개발업,701,자연과학 및 공학 연구개발업
스포츠 서비스업,911,스포츠 서비스업
가스 제조 및 배관공급업,352,가스 제조 및 배관공급업
연료용 가스 제조 및 배관공급업,352,가스 제조 및 배관공급업
가정용 기기 제조업,285,가정용 기기 제조업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
토목 건설업,412,토목 건설업
