,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기
10,[060310],3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2019-03-31,사업보고서,KRW,entity00378363_udf_BS_201962623104416_CurrentAssets,파생금융상품,0.0
56,[095570],AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2019-12-31,사업보고서,KRW,entity00365387_udf_BS_2018111316754511_CurrentAssets,매각예정비유동자산,22255856000.0
62,[095570],AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2019-12-31,사업보고서,KRW,entity00365387_udf_BS_20171113195237304_NoncurrentAssets,관계회사투자,16994796000.0
80,[095570],AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2019-12-31,사업보고서,KRW,entity00365387_udf_BS_20195142095037_CurrentLiabilities,유동성리스부채,24105187000.0
82,[095570],AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2019-12-31,사업보고서,KRW,entity00365387_udf_BS_20181113161153251_CurrentLiabilities,매각예정비유동부채,774263230.0
105,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_20171110123425413_CurrentAssets,기타수취채권,93995190000.0
106,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_2019329164336214_CurrentAssets,당기손익-공정가치측정금융자산,261397510000.0
108,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_20171110123436780_CurrentAssets,당기손익인식금융자산,0.0
114,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_2019329164615762_CurrentAssets,매각예정비유동자산,0.0
117,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_20171110123811707_NoncurrentAssets,기타수취채권,110605115000.0
118,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_2019329164731367_NoncurrentAssets,당기손익-공정가치측정금융자산,33494104000.0
135,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_20171110124140754_CurrentLiabilities,기타지급채무,244612600000.0
142,[006840],AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00125080_udf_BS_20171110124338106_NoncurrentLiabilities,기타장기지급채무,100768360000.0
163,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_2017113161512333_CurrentAssets,금융기관예치금,3407000000.0
165,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_2017116171747781_CurrentAssets,기타수취채권,1841413000.0
167,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_202032017136414_CurrentAssets,파생금융자산,445335870.0
173,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_202032017211840_CurrentAssets,매각예정비유동자산,12108855000.0
175,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_2017113163352821_NoncurrentAssets,금융기관예치금,3000000000.0
180,[054620],APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2019-12-31,사업보고서,KRW,entity00296078_udf_BS_201711617246775_NoncurrentAssets,기타수취채권,664757500.0
