,0
0,dart_accumulateddepreciationbrandnamesgross
1,dart_accumulateddepreciationbuildingincidentalfacilitiesgross
2,dart_accumulateddepreciationbuildingsgross
3,dart_accumulateddepreciationcomputersoftwaregross
4,dart_accumulateddepreciationcopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
5,dart_accumulateddepreciationcurrentbiologicalassetsgross
6,dart_accumulateddepreciationelectronicautomationdevelopmentgross
7,dart_accumulateddepreciationelectronicfacilitiesgross
8,dart_accumulateddepreciationfinanceleaseassetgross
9,dart_accumulateddepreciationfinishedprogramgross
10,dart_accumulateddepreciationfittinggross
11,dart_accumulateddepreciationfixturesandfittingsgross
12,dart_accumulateddepreciationintangibleexplorationandevaluationassetsgross
13,dart_accumulateddepreciationinvestmentproperty
14,dart_accumulateddepreciationlandrightgross
15,dart_accumulateddepreciationlanduserightgross
16,dart_accumulateddepreciationlicencesandfranchisesgross
17,dart_accumulateddepreciationmachinerygross
18,dart_accumulateddepreciationmastheadsandpublishingtitlesgross
19,dart_accumulateddepreciationminingrightsgross
20,dart_accumulateddepreciationnoncurrentbiologicalassetsgross
21,dart_accumulateddepreciationofficeequipmentgross
22,dart_accumulateddepreciationotherintangibleassetsgross
23,dart_accumulateddepreciationotherpropertyplantandequipmentgross
24,dart_accumulateddepreciationrecipesformulaemodelsdesignsandprototypesgross
25,dart_accumulateddepreciationrentalassetgross
26,dart_accumulateddepreciationrentstructuregross
27,dart_accumulateddepreciationshipsgross
28,dart_accumulateddepreciationstructuregross
29,dart_accumulateddepreciationsupplyfacilitiesgross
30,dart_accumulateddepreciationtangibleexplorationandevaluationassetsgross
31,dart_accumulateddepreciationtelexandtelephonesubscriptionrights
32,dart_accumulateddepreciationtoolsandequipmentgross
33,dart_accumulateddepreciationunfinishedprogramgross
34,dart_accumulateddepreciationusufructcontributionassetgross
35,dart_accumulateddepreciationutilitymodelrightsgross
36,dart_accumulateddepreciationvehiclesgross
37,dart_accumulatedimpairmentlossbrandnamesgross
38,dart_accumulatedimpairmentlossbuildingincidentalfacilitiesgross
39,dart_accumulatedimpairmentlossbuildingsgross
40,dart_accumulatedimpairmentlossbyproductgross
41,dart_accumulatedimpairmentlosscomputersoftwaregross
42,dart_accumulatedimpairmentlossconstructioninprogressgross
43,dart_accumulatedimpairmentlosscopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
44,dart_accumulatedimpairmentlosscurrentbiologicalassetsgross
45,dart_accumulatedimpairmentlosscurrentemissionright
46,dart_accumulatedimpairmentlosselectronicautomationdevelopmentgross
47,dart_accumulatedimpairmentlosselectronicfacilitiesgross
48,dart_accumulatedimpairmentlossexperimentmaterialgross
49,dart_accumulatedimpairmentlossfinanceleaseassetgross
50,dart_accumulatedimpairmentlossfinishedgoodsgross
51,dart_accumulatedimpairmentlossfinishedhousinggross
52,dart_accumulatedimpairmentlossfinishedprogramgross
53,dart_accumulatedimpairmentlossfittinggross
54,dart_accumulatedimpairmentlossfixturesandfittingsgross
55,dart_accumulatedimpairmentlossgoodsintransitgross
56,dart_accumulatedimpairmentlossgoodwillgross
57,dart_accumulatedimpairmentlossintangibleassetsunderdevelopmentgross
58,dart_accumulatedimpairmentlossintangibleexplorationandevaluationassetsgross
59,dart_accumulatedimpairmentlossinvestmentproperty
60,dart_accumulatedimpairmentlosslandgross
61,dart_accumulatedimpairmentlosslandrightgross
62,dart_accumulatedimpairmentlosslanduserightgross
63,dart_accumulatedimpairmentlosslicencesandfranchisesgross
64,dart_accumulatedimpairmentlosslotgross
65,dart_accumulatedimpairmentlossmachinerygross
66,dart_accumulatedimpairmentlossmastheadsandpublishingtitlesgross
67,dart_accumulatedimpairmentlossmerchandisegross
68,dart_accumulatedimpairmentlossminingrightsgross
69,dart_accumulatedimpairmentlossnoncurrentbiologicalassetsgross
70,dart_accumulatedimpairmentlossnoncurrentemissionrightgross
71,dart_accumulatedimpairmentlossofficeequipmentgross
72,dart_accumulatedimpairmentlossotherintangibleassetsgross
73,dart_accumulatedimpairmentlossotherinventoriesgross
74,dart_accumulatedimpairmentlossotherpropertyplantandequipmentgross
75,dart_accumulatedimpairmentlossproductionsuppliesgross
