영문 Label,한글 Label,Data Type,IFRS Reference,Element ID,Element Name
"[D210005] Statement of financial position, current/non-current - Separate financial statements","[D210005] 재무상태표, 유동/비유동법-별도재무제표",,,,
Statement of financial position [abstract],재무상태표 [abstract],,,ifrs-full_StatementOfFinancialPositionAbstract,StatementOfFinancialPositionAbstract
Assets [abstract],자산 [abstract],,,ifrs-full_AssetsAbstract,AssetsAbstract
Current assets,유동자산,X,K-IFRS 1001 문단 60,ifrs-full_CurrentAssets,CurrentAssets
Cash and cash equivalents,현금및현금성자산,X,"K-IFRS 1001 문단 54 (9), 
K-IFRS 1007 문단 45",ifrs-full_CashAndCashEquivalents,CashAndCashEquivalents
Cash,현금,X,"K-IFRS 1001 문단 54 (9), 
K-IFRS 1007 문단 45",ifrs-full_Cash,Cash
Cash equivalents,현금성자산,X,"K-IFRS 1001 문단 54 (9), 
K-IFRS 1007 문단 45",ifrs-full_CashEquivalents,CashEquivalents
"Government grants, cash and cash equivalents",정부보조금,(X),K-IFRS 1020 문단 24,dart_GovernmentGrantsCashAndCashEquivalentsGross,GovernmentGrantsCashAndCashEquivalentsGross
Short-term deposits not classified as cash equivalents,단기금융상품,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_ShortTermDepositsNotClassifiedAsCashEquivalents,ShortTermDepositsNotClassifiedAsCashEquivalents
Trade and other current receivables,매출채권 및 기타유동채권,X,K-IFRS 1001 문단 54 (8),ifrs-full_TradeAndOtherCurrentReceivables,TradeAndOtherCurrentReceivables
Short-term trade Receivable,매출채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermTradeReceivable,ShortTermTradeReceivable
"Allowance for doubtful acccount, short-term trade Receivable",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermTradeReceivable,AllowanceForDoubtfulAcccountShortTermTradeReceivable
Current finance lease receivables,단기금융리스채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_CurrentFinanceLeaseReceivables,CurrentFinanceLeaseReceivables
"Allowance for doubtful acccount, current finance lease receivables",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables,AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables
Short-term deferred ancillary income for loans,단기이연대출부대수익,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermDeferredAncillaryIncomeForLoans,ShortTermDeferredAncillaryIncomeForLoans
"Allowance for doubtful acccount, short-term deferred ancillary income for loans",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans,AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans
Short-term other Receivables,단기미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermOtherReceivables,ShortTermOtherReceivables
"Allowance for doubtful acccount, short-term other Receivables",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermOtherReceivables,AllowanceForDoubtfulAcccountShortTermOtherReceivables
Receivables On construction contracts,공사미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ReceivablesOnConstructionContracts,ReceivablesOnConstructionContracts
"Allowance for doubtful acccount, receivables on construction contracts",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountReceivablesOnConstructionContracts,AllowanceForDoubtfulAcccountReceivablesOnConstructionContracts
Receivables realestate sales,분양미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ReceivablesRealestateSales,ReceivablesRealestateSales
"Allowance for doubtful acccount, receivables realestate sales",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountReceivablesRealestateSales,AllowanceForDoubtfulAcccountReceivablesRealestateSales
Receivables agent,대행미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ReceivablesAgent,ReceivablesAgent
"Allowance for doubtful acccount, receivables agent",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountReceivablesAgent,AllowanceForDoubtfulAcccountReceivablesAgent
Short-term accrued Income,단기미수수익,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermAccruedIncome,ShortTermAccruedIncome
"Allowance for doubtful acccount, short-term accrued Income",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermAccruedIncome,AllowanceForDoubtfulAcccountShortTermAccruedIncome
Short-term deposits Provided,단기보증금자산,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermDepositsProvided,ShortTermDepositsProvided
"Allowance for doubtful acccount, short-term deposits Provided",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermDepositsProvided,AllowanceForDoubtfulAcccountShortTermDepositsProvided
Short-term advance payments,단기선급금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermAdvancePayments,ShortTermAdvancePayments
"Allowance for doubtful acccount, short-term advance payments",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermAdvancePayments,AllowanceForDoubtfulAcccountShortTermAdvancePayments
Current value added tax receivables,부가가치세대급금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_CurrentValueAddedTaxReceivables,CurrentValueAddedTaxReceivables
Short-term prepaid expenses,단기선급비용,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermPrepaidExpenses,ShortTermPrepaidExpenses
Allowance for doubtful acccount short-term prepaid expenses,대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermPrepaidExpenses,AllowanceForDoubtfulAcccountShortTermPrepaidExpenses
Short-term prepaid construction costs,단기선급공사원가,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermPrepaidConstructionCosts,ShortTermPrepaidConstructionCosts
"Allowance for doubtful acccount, short-term prepaid construction costs",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermPrepaidConstructionCosts,AllowanceForDoubtfulAcccountShortTermPrepaidConstructionCosts
Leasehold deposits,단기임차보증금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_LeaseholdDeposits,LeaseholdDeposits
"Allowance for doubtful acccount, leasehold deposits",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLeaseholdDeposits,AllowanceForDoubtfulAcccountLeaseholdDeposits
Short-term contract reserve,단기공사유보금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermContractReserve,ShortTermContractReserve
Current workout receivable,유동회생채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_CurrentWorkoutReceivable,CurrentWorkoutReceivable
Short-term due from customers for contract work,단기미청구공사,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermDueFromCustomersForContractWork,ShortTermDueFromCustomersForContractWork
"Allowance for doubtful acccount, short-term due from customers for contract work",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermDueFromCustomersForContractWork,AllowanceForDoubtfulAcccountShortTermDueFromCustomersForContractWork
Current contract assets,유동계약자산,X,K-IFRS 1115 문단 105,ifrs-full_CurrentContractAssets,CurrentContractAssets
Short-term loans,단기대여금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_ShortTermLoans,ShortTermLoans
"Allowance for doubtful acccount, short-term loans",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountShortTermLoans,AllowanceForDoubtfulAcccountShortTermLoans
Current tax assets,당기법인세자산,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 78 (2), ",ifrs-full_CurrentTaxAssets,CurrentTaxAssets
Inventories,재고자산,X,K-IFRS 1001 문단 54 (7),ifrs-full_Inventories,Inventories
Raw materials,원재료,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_RawMaterialsGross,RawMaterialsGross
"Accumulated Impairment loss, raw materials",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossRawMaterialsGross,AccumulatedImpairmentLossRawMaterialsGross
"Experiment material, gross",시험재료,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_ExperimentMaterialGross,ExperimentMaterialGross
"Accumulated impairment loss, experiment material",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossExperimentMaterialGross,AccumulatedImpairmentLossExperimentMaterialGross
"Merchandise, gross",상품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_MerchandiseGross,MerchandiseGross
"Accumulated Impairment loss, merchandise",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossMerchandiseGross,AccumulatedImpairmentLossMerchandiseGross
"Production supplies, gross",소모품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_ProductionSuppliesGross,ProductionSuppliesGross
"Accumulated Impairment loss, production supplies",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossProductionSuppliesGross,AccumulatedImpairmentLossProductionSuppliesGross
"Work in progress, gross",재공품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_WorkInProgressGross,WorkInProgressGross
"Accumulated Impairment loss, work in progress",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossWorkInProgressGross,AccumulatedImpairmentLossWorkInProgressGross
"Finished goods, gross",제품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_FinishedGoodsGross,FinishedGoodsGross
"Accumulated Impairment loss, finished goods",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossFinishedGoodsGross,AccumulatedImpairmentLossFinishedGoodsGross
"Semi-finished goods, gross",반제품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_SemiFinishedGoodsGross,SemiFinishedGoodsGross
"Accumulated impairment loss, semi-finished goods",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossSemiFinishedGoodsGross,AccumulatedImpairmentLossSemiFinishedGoodsGross
"Supplies, gross",저장품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_SuppliesGross,SuppliesGross
"Accumulated Impairment loss, supplies",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossSuppliesGross,AccumulatedImpairmentLossSuppliesGross
"Goods in transit, gross",미착품,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_GoodsInTransitGross,GoodsInTransitGross
"Accumulated Impairment loss, goods in transit",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossGoodsInTransitGross,AccumulatedImpairmentLossGoodsInTransitGross
"By-product, gross",부산물,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_ByProductGross,ByProductGross
"Accumulated impairment loss, by-product",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossByProductGross,AccumulatedImpairmentLossByProductGross
"Finished housing, gross",완성주택,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_FinishedHousingGross,FinishedHousingGross
"Accumulated impairment loss, finished housing",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossFinishedHousingGross,AccumulatedImpairmentLossFinishedHousingGross
"Lot, gross",용지,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_LotGross,LotGross
"Accumulated impairment loss, lot",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossLotGross,AccumulatedImpairmentLossLotGross
"Other inventories, gross",기타재고,X,"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_OtherInventoriesGross,OtherInventoriesGross
"Accumulated Impairment loss, other inventories",평가충당금,(X),"K-IFRS 1001 문단 54 (7), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78 (3),",dart_AccumulatedImpairmentLossOtherInventoriesGross,AccumulatedImpairmentLossOtherInventoriesGross
Other current financial assets,기타유동금융자산,X,K-IFRS 1001 문단 54 (4),ifrs-full_OtherCurrentFinancialAssets,OtherCurrentFinancialAssets
Current available-for-sale financial assets,유동매도가능금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentAvailableForSaleFinancialAssets,CurrentAvailableForSaleFinancialAssets
Current financial assets measured at fair value through other comprehensive income,유동 기타포괄손익-공정가치 측정 금융자산,X,K-IFRS 1107 문단 8 (8)(가),ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome
Current investments in equity instruments designated at fair value through other comprehensive income,유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,X,K-IFRS 1107 문단 8 (8)(나),ifrs-full_CurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome,CurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome
Current financial assets held to maturity,유동만기보유금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentFinancialAssetsHeldToMaturity,CurrentFinancialAssetsHeldToMaturity
